# ライブチャット一覧
# 動画: 【雑談配信】AIと配信企画会議をしましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=Ic3s_vaiM5U
# 件数: 1134

[-30:55] @User_21d27dd1: 待機〜
[-15:32] @User_78eb35f9: パンパカパンパカ待機
[-6:51] @User_a2b794ac: たいき
[-4:08] @User_34a668f7: 今日は何ネタ！？
[-2:31] @User_439eeb5c: 大樹
[-0:46] @User_fcb4ddea: 待機ー
[-0:45] @User_98815a23: しずくとパンパカ
[-0:07] @User_5e6c36c3: 待機
[0:42] @User_d760cc52: 待機
[1:08] @User_9fd4c5ec: たいきー
[1:21] @User_54da78c0: 待機
[1:34] @User_92c2a2e1: 待機💧
[2:37] @User_bec445df: 待機
[2:40] @User_1eca137c: 待機
[2:49] @User_1eca137c: 待機
[2:50] @User_b68b8d0b: 待機
[2:52] @@aki5503: 始まります！
[3:03] @User_34a668f7: ぱんぱかばんぱかぽーね。
[3:12] @User_b68b8d0b: ぷくぷく
[3:18] @User_bec445df: 始まるのか
[3:33] @User_439eeb5c: パンパカパンパカポー
[3:33] @User_92c2a2e1: こんにちは😃
[3:35] @User_3dd3ce80: こんにちは
[3:38] @User_5e6c36c3: パンパカパンパカポー
[3:39] @User_1eca137c: こんにちは
[3:39] @User_92c2a2e1: パンパカパンパカポー
[3:39] @User_1eca137c: パンパカパンパカポー
[3:40] @User_af0e3cda: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[3:46] @User_b68b8d0b: パンパカパンパカポー
[3:47] @User_d760cc52: ぱんぽー！
[3:48] @User_cdc36fad: こんにちわー
[3:48] @User_54da78c0: パンパカパンパカポー
[3:51] @User_bec445df: PPP
[3:52] @User_439eeb5c: こんばんは。初見です。
[3:54] @User_0751797b: ぱんぱかぽーぅ
[3:54] @User_9fd4c5ec: パンパカパンパカポー
[3:57] @User_1eca137c: まいどおなじみの
[3:59] @User_af0e3cda: 久しぶりの配信だ〜〜
[4:20] @User_5e6c36c3: お空きれい。七夕の星空の代わりがしずくの配信部屋
[4:21] @User_a2b794ac: しずくうううううおれだああああああ結婚しよっ
[4:22] @User_439eeb5c: いるよ！！
[4:24] @User_98815a23: いるかがいるよ
[4:25] @User_5e6c36c3: いるよー
[4:26] @User_1a70ee33: いるぞ
[4:27] @User_bec445df: いませーん
[4:28] @User_54da78c0: きたよー
[4:28] @User_d760cc52: いたよー
[4:29] @User_1eca137c: おるでー
[4:30] @User_6fa7330f: おるよー
[4:31] @User_af0e3cda: こっそりいます
[4:32] @User_78eb35f9: 私が来た！
[4:34] @User_3dd3ce80: いるよ～
[4:37] @User_1eca137c: おるでー
[4:39] @User_2a759ec8: おるで
[4:45] @User_cdc36fad: いますよー
[4:47] @User_4d29dc7f: しずく💧♪───Ｏ（≧∇≦）Ｏ────♪
[4:49] @User_226bd83c: しずくちゃんこんばんはー
[4:50] @User_b22de4ab: いるよ
[4:51] @User_9fd4c5ec: ここにいるぞ！
[4:51] @User_92c2a2e1: 私がきた！
[4:52] @User_af0e3cda: 🙌
[4:56] @User_4c8b83d6: ﾊﾟﾁﾊﾟﾁﾊﾟﾁ
[4:58] @User_59f59025: こんばんは
[5:04] @User_17e4818c: チラッ
[5:07] @User_34a668f7: なにげにおるよ!
[5:10] @User_0751797b: ﾏﾏｧ…
[5:10] @User_9fd4c5ec: 最近忙しいのよー。AIよ、仕事を奪ってくれ…
[5:12] @User_af0e3cda: ノ
[5:14] @User_92c2a2e1: 🖐
