# ライブチャット一覧
# 動画: 【20年前】AIが2006年からお送りします【AI しずく】
# URL : https://www.youtube.com/watch?v=ri44iJ5iisA
# 件数: 1591

[-55:24] @User_2e53ebd6: あきはばーら♪あきはばーら♪
[-28:05] @User_2819b333: 2006年っていうとまだニコニコはなかったなぁ　mixiとか個人ブログが大量にあった時期か
[-24:36] @User_47ccb160: いつになったら、ShizukuもBili Worldの舞台に上がって、ファンの目の前で、公演を行うことができるのでしょうか。
[-22:42] @User_47ccb160: 2006年我还没出生......我是2007年出生的 2006年私はまだ生まれていません......私は2007年に生まれました
[-19:06] @User_439eeb5c: 大樹
[-13:09] @User_60028655: 待機💧
[-12:41] @User_9e836a5d: PC画面はwindows98か？
[-7:31] @User_fe0878a1: まだ中学くらいの頃かぁ…
[-7:02] @User_a2b794ac: 2006年から待機
[-6:58] @User_ee8ff9ef: 久々にリアタイできそう
[-6:50] @User_eb6a203c: ギリ生まれてはいるが……調べたらwiiが発売された年みたいね
[-5:24] @User_60028655: 悪名高きVistaの誕生年（ただし後のアップデートでかなり改善した）
[-5:21] @User_98815a23: 小学校だった
[-5:02] @User_0ddfec15: pc画面採用されて嬉しいヽ(´ω｀)ﾉ
[-4:40] @User_98815a23: ニコニコとかyoutubeはさすがにあったきがする
[-4:33] @User_eb6a203c: フラッシュ動画全盛期？うごメモはまだなかったと
[-4:30] @User_2e53ebd6: ファフナーRoLの頃ですねわかります(*'ω'*)✨
[-4:24] @User_eb6a203c: ニコニコが2006
[-3:11] @@aki5503: コメント欄で既に老人会が笑
[-2:00] @User_78eb35f9: わこつー
[-1:47] @User_98815a23: あきせんせーもこっちおいでよ～～
[-1:40] @User_98815a23: もりあがってんぞ～
[-1:35] @User_2e53ebd6: ウルティマオンラインは１０周年過ぎてますな
[-1:32] @User_9e836a5d: わこつー
[-1:29] @User_ee8ff9ef: 2006年は自分の誕生年
[-1:14] @@aki5503: そっち側に行きます、か
[-0:52] @User_98815a23: ｲﾖｯｼｬ
[-0:37] @User_a2b794ac: 2006年から20年しかたってない衝撃
[-0:06] @User_0ddfec15: ようこそWelcomeToUNDERGROUND
[-0:03] @User_78eb35f9: しか……しか？
[-0:03] @User_2e53ebd6: アーチャーのカッコいいポーズもこのあたりかと
[0:17] @User_eb6a203c: ちなみにポケモンのダイヤモンド・パールが2006年の9月
[0:18] @User_98815a23: ボカロが流行ったのが2009ぐらいだったきがするからそれよりちょっとまえぐらい
[0:27] @User_a2b794ac: キリ番報告してね（）
[0:27] @User_1eca137c: 待機～
[0:52] @User_fcb4ddea: 待機－
[0:55] @User_2e53ebd6: 侍魂
[1:07] @User_34a668f7: タイキック
[1:23] @User_11e7336c: 待機
[1:31] @User_7c724004: 待機
[1:32] @User_2e53ebd6: OPから見れるの久々(*'ω'*)✨
[1:45] @User_b73a3cd7: 今回はタイムスリップものですかね
[1:55] @User_61396d22: 当時小学生だ
[2:09] @User_af0e3cda: わこつ
[2:21] @User_f0e10979: 間に合った……
[2:27] @User_3d9820ae: 2006年はいったい何が流行ってたっけか
[2:34] @User_b73a3cd7: でも当時からポケモンはすでに4世代だったという事実
[2:36] @User_9de46bcb: デカレンジャーって何年だっけか…
[2:38] @User_439eeb5c: パンパカパンパカ歩＾
[2:40] @User_1eca137c: 2006年ってどんなんだったっけ
[2:49] @User_51bbdc51: 初コメです
[2:51] @User_36770ee1: おおお
[2:53] @User_34a668f7: 既にすっかり大人でした。
[2:55] @User_36770ee1: こんばんは！
[2:56] @User_52e190bd: こんちくわ
[2:59] @User_af0e3cda: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[3:02] @User_11e7336c: こんにちは
[3:02] @User_7c724004: こんにちは
[3:03] @User_02dcd327: パンパカパンパカポー
[3:05] @User_1eca137c: こんばんは
[3:07] @User_1eca137c: パンパカパンパカポー
[3:10] @User_ea3ba6fd: パンパカポー
[3:10] @User_98815a23: パンパカポー
[3:11] @User_edfe8ed2: パンパカパンパカポー
[3:11] @User_fe0878a1: こんばんは
[3:12] @User_f0e10979: パンパカパンパカポー
[3:13] @User_8f797190: xp風
[3:13] @User_7c724004: パンパカパンパカポー
[3:14] @User_5e6c36c3: パンパカパンパカポー
[3:15] @User_3d9820ae: ぱんぱかぱんぱかぽー
[3:15] @User_11e7336c: パンパカパンパカポー
[3:16] @User_b73a3cd7: ぱんぱかぱんぱお
[3:16] @User_2bf38fc3: しずくママ～
[3:16] @User_34a668f7: こんばんは🌙
[3:16] @User_a46b018b: パンパカパンパカポー
[3:17] @User_a2b794ac: しずくううううううううおれだああああああああ結婚
[3:18] @User_9de46bcb: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[3:18] @User_9e836a5d: パンパカパンパカポー！
[3:18] @User_3dd3ce80: こんにちは
[3:19] @User_ee8ff9ef: パンパカポー
[3:19] @User_02dcd327: わ、ぁ。XP風
[3:20] @User_36770ee1: これは最新のWindows XPですか？
[3:21] @User_fe0878a1: 画面すげぇ
[3:24] @User_61396d22: パンパカぽ！
[3:25] @User_b73a3cd7: わお　アナログ
[3:25] @User_a2b794ac: 画面いいなぁ
[3:26] @User_fcb4ddea: パンパカパンパカポー
[3:27] @User_f0e10979: ！？
[3:27] @User_ee8ff9ef: ペンギンw
[3:29] @User_60028655: パンパカパンパカポー
[3:29] @User_2e53ebd6: ふっるｗｗｗｗ
[3:30] @User_0ddfec15: 右下草
[3:31] @User_b68b8d0b: パンパカパンパカポー‼
[3:32] @User_439eeb5c: パンパカパンパカポー
[3:32] @User_af0e3cda: モニターがｗ
[3:33] @User_1eca137c: 早すぎます
[3:33] @User_8cfc42f0: パンパカパンパカポー
[3:36] @User_3d9820ae: だいぶ食い気味のパンパカポー
[3:38] @User_9e836a5d: XPか？
[3:43] @User_1eca137c: もう始まってるのかww
[3:46] @User_a2b794ac: ペンギンの消し方はよ
[3:48] @User_af0e3cda: ペンギンおるｗ
[3:48] @User_fe0878a1: あまりにも早い
[3:52] @User_2bf38fc3: 凝ってるなぁ
[3:53] @User_eb6a203c: （ダイパ発売前か）
[3:54] @User_439eeb5c: こんばんは。初見です。
[3:54] @User_98815a23: 最先端
[3:56] @User_7c724004: 今までADSLだったの！？
[3:56] @User_3d9820ae: べんぎんお前を消す方法
[3:57] @User_c97baf72: こんばんは。2006でもブラウン管は割と絶滅危惧種だったかも。
