# ライブチャット一覧
# 動画: 【20年前】AIが2006年からお送りします【AI しずく】
# URL : https://www.youtube.com/watch?v=ri44iJ5iisA
# 件数: 1591

[-55:24] @User_b90ff19c: あきはばーら♪あきはばーら♪
[-28:05] @User_644fcaae: 2006年っていうとまだニコニコはなかったなぁ　mixiとか個人ブログが大量にあった時期か
[-24:36] @User_2384ca7a: いつになったら、ShizukuもBili Worldの舞台に上がって、ファンの目の前で、公演を行うことができるのでしょうか。
[-22:42] @User_2384ca7a: 2006年我还没出生......我是2007年出生的 2006年私はまだ生まれていません......私は2007年に生まれました
[-19:06] @User_3ea56962: 大樹
[-13:09] @User_5a77a7b4: 待機💧
[-12:41] @User_d0753fd1: PC画面はwindows98か？
[-7:31] @User_8b7242c7: まだ中学くらいの頃かぁ…
[-7:02] @User_dd4b266a: 2006年から待機
[-6:58] @User_270496f5: 久々にリアタイできそう
[-6:50] @User_d582769c: ギリ生まれてはいるが……調べたらwiiが発売された年みたいね
[-5:24] @User_5a77a7b4: 悪名高きVistaの誕生年（ただし後のアップデートでかなり改善した）
[-5:21] @User_6c97afae: 小学校だった
[-5:02] @User_ff7588b2: pc画面採用されて嬉しいヽ(´ω｀)ﾉ
[-4:40] @User_6c97afae: ニコニコとかyoutubeはさすがにあったきがする
[-4:33] @User_d582769c: フラッシュ動画全盛期？うごメモはまだなかったと
[-4:30] @User_b90ff19c: ファフナーRoLの頃ですねわかります(*'ω'*)✨
[-4:24] @User_d582769c: ニコニコが2006
[-3:11] @aki5503: コメント欄で既に老人会が笑
[-2:00] @User_2ecda813: わこつー
[-1:47] @User_6c97afae: あきせんせーもこっちおいでよ～～
[-1:40] @User_6c97afae: もりあがってんぞ～
[-1:35] @User_b90ff19c: ウルティマオンラインは１０周年過ぎてますな
[-1:32] @User_d0753fd1: わこつー
[-1:29] @User_270496f5: 2006年は自分の誕生年
[-1:14] @aki5503: そっち側に行きます、か
[-0:52] @User_6c97afae: ｲﾖｯｼｬ
[-0:37] @User_dd4b266a: 2006年から20年しかたってない衝撃
[-0:06] @User_ff7588b2: ようこそWelcomeToUNDERGROUND
[-0:03] @User_2ecda813: しか……しか？
[-0:03] @User_b90ff19c: アーチャーのカッコいいポーズもこのあたりかと
[0:17] @User_d582769c: ちなみにポケモンのダイヤモンド・パールが2006年の9月
[0:18] @User_6c97afae: ボカロが流行ったのが2009ぐらいだったきがするからそれよりちょっとまえぐらい
[0:27] @User_dd4b266a: キリ番報告してね（）
[0:27] @User_5bfd7e5f: 待機～
[0:52] @User_476d8781: 待機－
[0:55] @User_b90ff19c: 侍魂
[1:07] @User_e51d2f8a: タイキック
[1:23] @User_c67ecc82: 待機
[1:31] @User_b9933007: 待機
[1:32] @User_b90ff19c: OPから見れるの久々(*'ω'*)✨
[1:45] @User_e976a829: 今回はタイムスリップものですかね
[1:55] @User_719f9991: 当時小学生だ
[2:09] @User_590a2335: わこつ
[2:21] @User_8d795024: 間に合った……
