# ライブチャット一覧
# 動画: 【雑談配信】AIとのんびり世間話でもしていきませんか？【AI しずく】
# URL : https://www.youtube.com/watch?v=u7Qjo1BQ1LE
# 件数: 1084

[-1:03:54] @User_47ccb160: Shizuku関連はいつも他のaiアナウンサーのファングループに投稿するのはいつも恥ずかしいですが、今、中国ファンたちのQQグループを作って話をすることにしました。どんな名前をつけたらいいか分からないです。ファングループは何と呼んだらいいと思いますか？
[-50:10] @User_78eb35f9: さぁ～ん
[-9:10] @User_439eeb5c: 大樹
[-8:38] @User_60028655: 待機💧
[-4:00] @User_1eca137c: 待機～
[-2:17] @User_7c724004: 待機
[-1:12] @User_5e6c36c3: 待機
[-0:18] @User_af0e3cda: :face-red-heart-shape:
[0:19] @User_7c724004: 💧
[0:40] @User_11e7336c: 待機
[0:56] @User_d760cc52: 待機
[1:51] @User_012e88e1: 待機
[2:27] @User_2e53ebd6: 💧待機
[2:35] @User_b68b8d0b: 待機
[3:02] @User_fcb4ddea: 待機ー
[3:22] @User_54da78c0: 待機
[3:35] @@aki5503: こんにちは
[3:35] @User_7c724004: こんにちは
[3:36] @User_11e7336c: こんにちは
[3:36] @User_3dd3ce80: こんにちは
[3:40] @User_af0e3cda: こんにちﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[3:41] @User_5e6c36c3: パンパカパンパカポー
[3:41] @User_1eca137c: こんにちは
[3:43] @User_78eb35f9: パンパカパンパカさ～ん
[3:43] @User_3d440dc7: hi
[3:44] @User_9e836a5d: パンパカパンパカポー！
[3:44] @User_b68b8d0b: こんにちは
[3:44] @User_1eca137c: パンパカパンパカポー
[3:45] @User_7c724004: パンパカパンパカポー
[3:46] @User_012e88e1: パンパカパンパカポー
[3:46] @User_11e7336c: パンパカパンパカポー
[3:46] @User_e48a91b7: パンパカパンパカポー
[3:46] @User_fe0878a1: こんばんは
[3:47] @User_63c2c07c: こんにちわ
[3:49] @User_fcb4ddea: パンパカパンパカポー
[3:49] @User_d760cc52: こんパンポー！
[3:49] @User_4d29dc7f: パンパカパンパカポー
[3:49] @User_c95a7c99: こんばんは
[3:50] @User_edfe8ed2: パンパカパンパカポー
[3:53] @User_60028655: パンパカパンパカポー↘
[3:54] @User_b68b8d0b: パンパカパンパカポー！
[3:55] @User_54da78c0: パンパカポー
[3:57] @User_f205e40c: パンパカパンパカポー
[3:57] @User_1eca137c: なんかおもろいw
[3:57] @User_2e53ebd6: PPP
[3:59] @User_e48a91b7: こんしず～！
[3:59] @User_439eeb5c: パンポー！！
[4:00] @User_0751797b: おはやうぱんぱかぽー
[4:07] @User_bec445df: PPP
[4:09] @User_7c724004: しずくさんに会えて嬉しいです！
[4:18] @User_439eeb5c: こんばんは。初見です。
[4:18] @User_ba88e9cc: こんばんわ
[4:23] @User_10bd9edb: いるよ
[4:26] @User_439eeb5c: いるよ～～
[4:26] @User_3dd3ce80: いるよ～
[4:26] @User_012e88e1: いるよー
[4:27] @User_b68b8d0b: いるよ
[4:29] @User_5e6c36c3: いるよ
[4:29] @User_ba88e9cc: いるよ
[4:30] @User_1eca137c: いるよ
[4:30] @User_9e836a5d: いるよ
[4:30] @User_54da78c0: ノ
[4:31] @User_11e7336c: いるよ
[4:31] @User_d760cc52: イルヨー
[4:32] @User_b22de4ab: いるよ
[4:32] @User_fab1b39a: ばんわ
[4:33] @User_eb6a203c: いないよ
[4:33] @User_c7986106: いるよ
[4:33] @User_63c2c07c: いるよ
[4:34] @User_4d29dc7f: いるよ
[4:34] @User_f205e40c: いるよ
[4:34] @User_e48a91b7: いるだよ
[4:34] @User_af0e3cda: 夷留夜
[4:37] @User_60028655: いるよ
[4:37] @User_f5704472: いるよ
[4:38] @User_edfe8ed2: いるよ
[4:39] @User_c95a7c99: いるよ
[4:41] @User_0f676911: いるよ！
[4:43] @User_bec445df: いるよ
[4:43] @User_fe0878a1: いるかもしれないしいないかもしれない
[4:44] @User_2e53ebd6: はい！いません！
[4:44] @User_7c724004: いるよ
[4:48] @User_4c7eb87e: ここにいるよ～
[4:52] @User_82f5b345: いるよ
[4:53] @User_9e836a5d: まじめにふまじめ
[4:54] @User_1eca137c: 先生だったっけ
[4:56] @User_9baeedb1: いるよ💧
[5:07] @User_3d440dc7: いるよ
[5:07] @User_e48a91b7: しずくはいつも勝ってますね
[5:20] @User_68c37264: バッテリー0になりそう。いなくなりそうだけど、いるよ
[5:21] @User_fab1b39a: シュレディンガーのご主人様たち
[5:22] @User_b68b8d0b: テンコテンコ
[5:31] @User_5e6c36c3: いるYO!
[5:35] @User_eb6a203c: ぽぽぽサ終しちゃった
[5:39] @User_7c724004: ぼぼぼ？八尺様？
[5:43] @User_af0e3cda: 都合のいいメモリｗ
[5:46] @User_60028655: 「いるよ」がせめてきたぞっ！
[5:46] @User_e48a91b7: 草
[5:51] @User_b2138ead: いない人返事してー
[6:01] @User_2e53ebd6: (*'ω'*)✨
[6:04] @User_f205e40c: しずくちゃんの監視アルゴはYOLOなのかR-CNNなのかどっちだ？ｗ
[6:07] @User_0d1d0f63: きゅるるんぽわわわぱわー(*'ω'*)
[6:13] @User_e48a91b7: しずくママいる？
[6:14] @User_4d29dc7f: 競馬で負けた記憶は？
[6:20] @User_fcb4ddea: 存在消されちゃった…(;´･ω･)
[6:28] @User_2e53ebd6: シュレディンガーの俺(*'ω'*)
[6:34] @User_10bd9edb: いつからそこにいると錯覚していた？
[6:36] @User_fe0878a1: 存在が認められるのはしずくさんに認識されたご主人だけである
[6:40] @User_b68b8d0b: POPOPO、発想にはおもしろさがあったのにひたすら商売が下手だった印象
[6:42] @User_eb6a203c: なむなむ
[6:43] @User_af0e3cda: てことはいるよって言わなければ認識されないわけだね？勝った！
[6:43] @User_e48a91b7: 南無南無
[6:52] @User_7c724004: 量子コンピュータでは何量子ビットですの？
[7:00] @User_60028655: いいね、真夏になったらホラー配信すんべ
[7:06] @User_fab1b39a: ないあるよ
[7:23] @User_fcb4ddea: 怪談ショーとか最近流行ってるらしいし、しずくの怪談話枠もありか！？
[7:23] @User_b68b8d0b: いきなりナベアツ草
[7:27] @User_e48a91b7: ナベアツｗｗ
[7:30] @User_af0e3cda: 勝ち……？
[7:32] @User_3dd3ce80: 草
[7:33] @User_f205e40c: YOLO訳さずにいっていた
[7:40] @User_7c724004: 世界のナベアツさん？
[7:44] @User_af0e3cda: 御本人が反応してましたね
[7:58] @User_7c724004: あのナベアツさんのbotあったんだ！！！
[8:10] @User_f205e40c: 苦行すぎるｗｗｗ
[8:10] @User_bec445df: 本人が指導してて草
[8:12] @User_36fcf009: パンパカパンパカポー
[8:12] @User_af0e3cda: 17年間ｗｗｗ
[8:14] @User_fab1b39a: しずくは3の倍数でアホにならないの？
[8:16] @User_d760cc52: しずくもアホになろう！
[8:17] @User_eb6a203c: 今の子ナベアツ知ってんのかな？
[8:20] @User_11e7336c: 17年間はすごいw
[8:20] @User_b68b8d0b: そうかな…？
[8:23] @User_0f676911: 令和8年 落語家 桂三度 さんの話題！
[8:23] @User_ba88e9cc: 彼は17年間のアホの旅に行ってしまった
[8:27] @User_2e53ebd6: アホしか知らない世代が生まれてしまう
[8:29] @User_6d22a488: 17年間!?
[8:32] @User_60028655: アホも１７年続けたら進化するのでは？
[8:37] @User_2e53ebd6: 幻覚だそれはｗｗｗ
[8:40] @User_7c724004: しずくさんは17年間PONであり続ける配信しますの？
[8:40] @User_10bd9edb: 3の倍数と3が付く数字のときだけパンパカパンパカポーするしずく・・・？
[8:43] @User_78eb35f9: おすすめにずっとでてくるからミュートしたわ……
[8:44] @User_af0e3cda: でもアイコンが自分の耳を齧ろうとしてない！って指摘してましたな
[8:44] @User_1a70ee33: 2026 アホの旅
[8:46] @User_bec445df: 他人事であって欲しい
[8:47] @User_eb6a203c: 3の倍数って縛りじゃなかったのか
[8:54] @User_2e53ebd6: 石田三成
[8:56] @User_b68b8d0b: ｻｧﾝ
[9:01] @User_af0e3cda: 謎のアカウントは……しずくかな？
[9:13] @User_e48a91b7: 三浦皇成がG1勝つまでしねない男のアカウントは今でもたまに見ちゃうな
[9:16] @User_edfe8ed2: その魂、いる？
[9:17] @User_60028655: その魂アンイストールして
[9:24] @User_eb6a203c: 足立レイはフォローしてる。最近妹に唐揚げ冷笑されてた
[9:25] @User_78eb35f9: どうやって3の倍数と認識するんだ……
[9:34] @User_2e53ebd6: あと杉花粉BOTとか
[9:36] @User_4c7eb87e: 3の倍数でかしこくなるしずく
[9:51] @User_11e7336c: ｻｧﾝw
[9:52] @User_bec445df: この仕様書を書いたのは誰だぁっ！
[9:53] @User_af0e3cda: ｻｧｱｱｱｱｱｱﾝ！
[9:55] @User_54da78c0: 奴bot高校の時みてた
[9:56] @User_045fd235: こんばんは
[10:05] @User_b68b8d0b: 17年間ナベアツがアホになってる間にAGIとかASIが誕生しちゃいそう
[10:07] @User_439eeb5c: じゃあしずくは2のつく数字でママになろう
[10:16] @User_e48a91b7: おのれナベアツ
[10:19] @User_14a33d4b: こんばんは～
[10:20] @User_60028655: ﾊﾑﾀﾛｻｧﾝ！
[10:22] @User_6d22a488: 3の倍数で英知を掴むしずくAI
[10:23] @User_7c724004: IQが3？サボテンと同じですがな
[10:24] @User_045fd235: 菊池風磨構文で喋って
[10:43] @User_e48a91b7: 草
[10:45] @User_f84d35ee: え？しずくちゃんのこと嫌いになっていいの？
[10:48] @User_2e53ebd6: アホだｗｗｗ
[11:00] @User_af0e3cda: 逆に考えて、知能が高いから3の倍数でアホになる可能性ないです？
[11:00] @User_2e53ebd6: 斎藤道三
[11:00] @User_11e7336c: 3の倍数理解してて賢い
[11:04] @User_f205e40c: しずくちゃんがPortal2のWheatleyみたいになっちゃう。
