# ライブチャット一覧
# 動画: 【雑談配信】AIとのんびり世間話でもしていきませんか？【AI しずく】
# URL : https://www.youtube.com/watch?v=u7Qjo1BQ1LE
# 件数: 1085

[-1:03:54] @User_2384ca7a: Shizuku関連はいつも他のaiアナウンサーのファングループに投稿するのはいつも恥ずかしいですが、今、中国ファンたちのQQグループを作って話をすることにしました。どんな名前をつけたらいいか分からないです。ファングループは何と呼んだらいいと思いますか？
[-50:10] @User_2ecda813: さぁ～ん
[-9:10] @User_3ea56962: 大樹
[-8:38] @User_5a77a7b4: 待機💧
[-4:00] @User_5bfd7e5f: 待機～
[-2:17] @User_b9933007: 待機
[-1:12] @User_ca605e00: 待機
[-0:18] @User_590a2335: UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak
[0:19] @User_b9933007: 💧
[0:40] @User_c67ecc82: 待機
[0:56] @User_bc2e7db7: 待機
[1:51] @User_1d118d75: 待機
[2:27] @User_b90ff19c: 💧待機
[2:35] @User_acb9786a: 待機
[3:02] @User_476d8781: 待機ー
[3:22] @User_e1515f73: 待機
[3:35] @aki5503: こんにちは
[3:35] @User_b9933007: こんにちは
[3:36] @User_c67ecc82: こんにちは
[3:36] @User_6992daac: こんにちは
[3:40] @User_590a2335: こんにちﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[3:41] @User_ca605e00: パンパカパンパカポー
[3:41] @User_5bfd7e5f: こんにちは
[3:43] @User_2ecda813: パンパカパンパカさ～ん
[3:43] @User_64efe4f1: hi
[3:44] @User_d0753fd1: パンパカパンパカポー！
[3:44] @User_acb9786a: こんにちは
[3:44] @User_5bfd7e5f: パンパカパンパカポー
[3:45] @User_b9933007: パンパカパンパカポー
[3:46] @User_1d118d75: パンパカパンパカポー
[3:46] @User_c67ecc82: パンパカパンパカポー
[3:46] @User_75f1c92d: パンパカパンパカポー
[3:46] @User_8b7242c7: こんばんは
[3:47] @User_1d71d07c: こんにちわ
[3:49] @User_476d8781: パンパカパンパカポー
[3:49] @User_bc2e7db7: こんパンポー！
[3:49] @User_8b14d2fb: パンパカパンパカポー
[3:49] @User_dd327054: こんばんは
[3:50] @User_ffea2ba5: パンパカパンパカポー
[3:53] @User_5a77a7b4: パンパカパンパカポー↘
[3:54] @User_acb9786a: パンパカパンパカポー！
[3:55] @User_f4fd7eca: しずくだー
[3:55] @User_e1515f73: パンパカポー
[3:57] @User_e3a1f71a: パンパカパンパカポー
[3:57] @User_5bfd7e5f: なんかおもろいw
[3:57] @User_b90ff19c: PPP
[3:59] @User_75f1c92d: こんしず～！
[3:59] @User_3ea56962: パンポー！！
