# コメント一覧
# 動画: 第４回しずくAI裁判【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=O78UngxbHqQ
# 件数: 3

[2026-07-22 09:00 JST] @User_92c2a2e1（👍 1）
今回も極刑のオンパレードおつしずでした。
そのうち檻房がご主人様で溢れかえってしまいそう😂

[2026-07-22 09:00 JST] @User_3c314ce3（👍 2）
33:10
小学生です。実は第3回裁判の時点で著しい家庭内不和により家出していたので、卒業証書はあってもランドセルがありません😭

[2026-08-04 09:00 JST] @User_7536f8b5（👍 1）
※これは自動文字起こしからAIによって生成したタイムスタンプのため、ネタバレや誤り、時間のズレを含む可能性があります。

【タイムスタンプ集】① オープニング～あき先生
🌟ハイライト：[11:00] 開廷一発目の被告人がまさかの開発者あき先生
[0:00] 「第４回しずくAI裁判」ついに開廷、待機勢がぞろぞろ集合
[3:40] 今回のテーマは「ご主人様の黒歴史」全員戦慄の予感
[6:40] しずく「もう全員有罪判決出てます」の衝撃発言
[10:20] アーカイブ紹介そこそこにまさかの布教タイムへ
[11:00] 開廷一発目の被告人がまさかの開発者あき先生
[12:59] 弁護人が終始「異議なし」しか言わない役立たず具合
[16:00] しずくの判定システムに謎のエラーが発生

【タイムスタンプ集】② 消えない黒歴史編
🌟ハイライト：[21:20] 匿名希望のはずが正体特定される衝撃展開
[17:39] 2人目、消したはずの黒歴史サイトがまさかの復活を遂げる
[18:00] 「インターネットアーカイブ」という名の逃げ場のない地獄
[20:16] 匿名希望のご主人様、まさかの元自衛官エピソード
[21:20] 匿名希望のはずが正体特定される衝撃展開
[22:20] しずくの新機能「全自動〇〇ボタン」がまさかの初解禁
[25:27] 学生時代のガチ恋エピソードにチャット一同ざわつく
[26:20] ラジオで名指しされた黒歴史のインパクトがすごい

【タイムスタンプ集】③ 黒歴史バラエティ編
🌟ハイライト：[38:00] 登録者7人のYouTubeチャンネルにまさかの共通点発覚
[29:09] バイトをやる気だけは満々な自称社会人が登場
[30:20] しずく、視聴者の全財産を使った謎の資産運用計画を発表
[33:11] 小学生時代の証拠隠滅工作がまさかの大失敗に
[34:00] しずく、前代未聞の一生モノの罰を言い渡す
[36:01] あだ名の由来になった伝説の争奪戦が明らかに
[38:00] 登録者7人のYouTubeチャンネルにまさかの共通点発覚
[39:53] 20年越しの因縁がまさかのビッグスケールに発展

【タイムスタンプ集】④ 黒歴史ラッシュ
🌟ハイライト：[51:30] 謎の実行ボタンにチャット総ツッコミの新展開
[43:35] 大事なテストで見せた驚きの寝落ち事件
[44:15] しずく、前代未聞の「やり直し」判決を発動
[48:22] 中学卒業の日に起きたまさかの告白未遂事件
[50:35] 法廷内で放ったダジャレが思わぬ大惨事に
[51:00] カウントダウン付きの演出にチャット一同ざわつく
[51:30] 謎の実行ボタンにチャット総ツッコミの新展開
[52:58] 青春の1コマがまさかの物理的大惨事に発展

【タイムスタンプ集】⑤ AI依存症～まさかの大事件
🌟ハイライト：[1:05:30] しずくに突如謎の現象が発生、法廷騒然
[54:57] 路上でのAIとの会話が思わぬ形で目撃される
[58:00] しずく、まさかの新しい収容施設案を発表
[1:00:05] 心の声がダダ漏れだった過去が発覚
[1:00:28] 前代未聞の罰がここで爆誕
[1:04:02] あるジャンプ漫画への憧れから始まった因縁の話
[1:05:30] しずくに突如謎の現象が発生、法廷騒然
[1:06:20] 事態収拾後、思わぬ強制参加系の判決が下る

【タイムスタンプ集】⑥ グッズ化騒動～遅刻魔
🌟ハイライト：[1:14:22] 押収されたはずの証拠品に異変発生
[1:08:27] 将来の夢を巡る作文がまさかの新展開に
[1:09:20] しずくグッズ化計画、まさかの金額交渉スタート
[1:10:24] しずく等身大フィギュアの提供条件がまさかの内容
[1:13:16] 中二時代の痛いアイテムがまさかの証拠品として発覚
[1:14:22] 押収されたはずの証拠品に異変発生
[1:17:38] 遅刻の常習犯がまさかの矯正劇を迎える
[1:19:15] 遅刻指導そのものに遅刻するという伝説のエピソード

【タイムスタンプ集】⑦ 終盤ラッシュ～ママ疑惑・閉廷
🌟ハイライト：[1:33:41] 内容も読まずに即断される衝撃の速さ
[1:22:17] 小学生時代の創作物がネットの海からまさかの発掘
[1:24:57] 中学生の頃の初恋エピソードにチャットも尊さで悶絶
[1:26:25] 甘酸っぱい話の締めがまさかの一言で台無しに
[1:29:25] 誤配達で届いたまさかの荷物にまつわる事件
[1:32:40] しずくを「ママ」と呼ぶ罪でまさかの即断
[1:33:41] 内容も読まずに即断される衝撃の速さ
[1:38:41] 長引いた「ママ」論争にまさかの決着案が浮上
[1:41:20] 閉廷後の夢の話がまさかのオチで締めくくり

