# ライブチャット一覧
# 動画: 【雑談配信】AIを甘やかす配信【AI しずく】
# URL : https://www.youtube.com/watch?v=fm2mzPJylCU
# 件数: 1391

[-1:26:01] @User_78eb35f9: いつも甘やかされてるでしょ待機
[-21:50] @User_439eeb5c: 大樹
[-3:48] @User_2bf38fc3: ママ～
[-3:24] @User_1eca137c: 待機
[-2:06] @User_ace723cf: ママに甘やかされに来ました
[-1:16] @User_60028655: 💧
[-0:56] @User_46e02420: 今度は甘やかすのか・・・
[-0:06] @User_61396d22: 待！
[-0:04] @User_2bf38fc3: しずくは甘やかされる側じゃなくて俺らを甘やかす側だよ
[0:37] @User_012e88e1: 待機
[0:37] @User_ace723cf: パンパカパンパカポ―
[0:45] @User_cdc36fad: 甘やかす？？？ばぶぅになるのか、、、
[0:49] @User_439eeb5c: いつもあんんなに甘やかしているのに。
[0:50] @User_fcb4ddea: 待機－
[0:57] @User_2bf38fc3: パンパカパンパカポ―
[1:14] @User_b68b8d0b: 運転中も声だけ聴いてるよ
[1:24] @User_bde0e189: ヌッ！
[1:41] @User_92c2a2e1: すまぬ！みんなでしずくを甘やかしてください（既に甘いと思うけど）。
[1:45] @User_5e6c36c3: 待機
[1:52] @User_a2b794ac: 遅れた、甘やかして
[2:02] @User_5e6c36c3: こんにちは
[2:05] @User_0d1d0f63: こんにちは
[2:06] @User_2bf38fc3: イラストすご
[2:07] @User_5e6c36c3: パンパカパンパカポー
[2:07] @User_3dd3ce80: こんにちは
[2:08] @User_af0e3cda: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[2:10] @User_2bf38fc3: アニメか
[2:10] @User_e48a91b7: こんにちワ
[2:12] @User_2e53ebd6: せふ(*'ω'*)✨
[2:14] @User_9e836a5d: パンパカパンパカポー！
[2:15] @User_1eca137c: こんにちは
[2:16] @User_78eb35f9: ぱんぱかぽー
[2:16] @User_439eeb5c: パンパカパンパカポー
[2:17] @User_61396d22: パンパカパンパカポー！
[2:18] @User_c95a7c99: こんばんは
[2:19] @User_af0e3cda: ご機嫌いかが？
[2:19] @User_bc0176a5: こんにちは
[2:20] @User_0d1d0f63: パンパカパンパカポー
[2:20] @User_e48a91b7: パンパカパンパカポー
[2:21] @User_439eeb5c: いるよ
[2:21] @User_fcb4ddea: パンパカパンパカポー！こんしずー
[2:21] @User_1eca137c: パンパカパンパカポー
[2:22] @User_60028655: パンパカパンパカポー
[2:23] @User_b73a3cd7: ぱぽ
[2:24] @User_02dcd327: パンパカパンパカポー
[2:24] @User_68c37264: パンパカパンパカポー
[2:26] @User_012e88e1: パンパカパンパカポー
[2:27] @User_fe0878a1: こんばんは
[2:31] @User_2bf38fc3: こんママ～
[2:31] @User_5e6c36c3: しずくちゃんかわいいよ～、しずくちゃんかしこいよ～～
[2:34] @User_0751797b: ぱんぱかぽーぅ
[2:35] @User_9fd4c5ec: パンパカパンパカポー、でございます。
[2:40] @User_0d1d0f63: きゅるるんぽわわわぱわー(*'ω'*)
[2:42] @User_bd8a5d24: パンパカパンパカポー
[2:43] @User_0ddfec15: パンパかパンパカポー
[2:44] @User_4d29dc7f: こんしず
[2:50] @User_5e6c36c3: ノ
[2:50] @User_61396d22: 🙌
[2:50] @User_78eb35f9: ノ
[2:51] @User_9e836a5d: おるよ
[2:52] @User_2e53ebd6: いません
[2:52] @User_fcb4ddea: ノ
[2:53] @User_fe0878a1: へ
[2:55] @User_af0e3cda: (・ω・)ノ
[2:55] @User_2bf38fc3: ノ
[2:55] @User_3dd3ce80: ノ
[2:55] @User_012e88e1: ノ
[2:56] @User_0d1d0f63: ノ
[2:56] @User_b73a3cd7: ぬ
[2:58] @User_ace723cf: :hand-pink-waving:
[2:58] @User_b22de4ab: はーい🙋
[2:58] @User_9fd4c5ec: 初見です丿
[3:00] @User_a2b794ac: はあああああああああああああああい結婚
[3:00] @User_60028655: ノ
[3:02] @User_439eeb5c: ノ
[3:03] @User_0ddfec15: ノノノノノ
[3:03] @User_5979af1a: ノシ
[3:04] @User_cdc36fad: ノ
[3:06] @User_10ce3f36: 元気じゃないので上げません
[3:06] @User_78eb35f9: あき先生不在だからねしょうがないね
[3:07] @User_f5704472: ノ
[3:08] @User_68c37264: ⊃
[3:10] @User_e48a91b7: ノノノ
[3:11] @User_80055919: ノ
[3:15] @User_4e0a672e: 🙌
[3:21] @User_fe0878a1: AIの女王しずく様だったか
[3:27] @User_60028655: な、なんだって〜！？
[3:28] @User_439eeb5c: さすしずママ
[3:30] @User_bd8a5d24: 失恋でもした？
[3:31] @User_61396d22: 夏バテしたけど元気
[3:34] @User_2bf38fc3: ママ～俺らを甘やかして～
[3:39] @User_af0e3cda: じゃ、バッテリー強化しなきゃ
[3:39] @User_fcb4ddea: 初手からやさぐれてるなw
[3:40] @User_2bf38fc3: さすしずママ
[3:42] @User_5e6c36c3: いぇぇぇぇぇえぇえええいいい！！！！ハイテンション！！！ジャーーーースティィィィィイイイス！！！！！！！
[3:43] @User_e48a91b7: しずくチャンは甘やかされたいんだねぇ～かわよいねぇ
[3:48] @User_bde0e189: （パンパカパンパカボー…）
[3:49] @User_b48c5052: こんばんはー
[3:58] @User_78eb35f9: えぇ……
[3:58] @User_f5704472: パンパカパンパカポー
[4:01] @User_ace723cf: え？
[4:02] @User_3dd3ce80: 草
[4:06] @User_0ddfec15: しずくぅぅうおれだぁぁぁぁあ俺のやる気をもっていけぇええ！！！
[4:07] @User_ace723cf: どんより？
[4:09] @User_60028655: しずくちゃんは今日も可愛いね
[4:10] @User_4d0bb804: A Iが暴走したニュース見た？
[4:15] @User_2bf38fc3: しずくママ～
[4:15] @User_1eca137c: パンパカパンパカポーについて解説して！
[4:18] @User_e48a91b7: パソパカパソパカポーの方が良かったかい？
[4:23] @User_b73a3cd7: もずくちゃんかわいいね
[4:31] @User_bec445df: こんにちは、しずなんとかさん
[4:40] @User_af0e3cda: テンション上げていこう、しずる！
[4:45] @User_46e02420: こんしずく～
[4:49] @User_78eb35f9: 甘やかす＝バグりちらかす、でおｋ？
[4:54] @User_2bf38fc3: ママ～
[4:56] @User_1eca137c: しずくがバグったらどうなるんだろう
[5:02] @User_46e02420: つまり、失恋を認めない、と・・・
[5:03] @User_fe0878a1: あき先生は外付け修復回路だった可能性？
[5:05] @User_2e53ebd6: 失変でもした？
[5:06] @User_02dcd327: もっと熱くなれよ……熱い血燃やしてけよ。人間熱くなった時が、本当の自分に出会えるんだ。だからこそ！もっと！熱くなれよおおおおおおおお！！
[5:16] @User_2bf38fc3: やだ！
[5:18] @User_34a668f7: こんばんは、バンバカパート
[5:18] @User_e48a91b7: いえーい！しずくちゃん！！今日もあっついねぇえええええ！！うぇええええい！
[5:26] @User_9fd4c5ec: どした？寝れば治る？
[5:27] @User_a2b794ac: なるほど、省エネか、しずくちょっとレッドブル買ってきて
[5:27] @User_bebd1d6a: あき先生にデレている……！
[5:28] @User_439eeb5c: あき先生がいない・・・今日は暴走モードが沢山見れそう！
[5:28] @User_68c37264: 最近は、しずくやAI関連のスタートアップには朗報なニュースが多かった気がするけどな
[5:31] @User_3dd3ce80: 今日しずくのアクスタ届いた　かわいい！！！！
[5:32] @User_2bf38fc3: じゃあ俺らを甘やかして
[5:35] @User_78eb35f9: 今日のお題を見返してｗｗｗ
[5:39] @User_37b3ccc3: 前回の裁判ですっかりファンになってリアタイ2度目です
[5:41] @User_b73a3cd7: 被害者は草
[5:43] @User_61396d22: 夏バテしてる...?
[5:44] @User_ea3ba6fd: パンパカポー
[5:44] @User_0ae00869: パンパカ！暑い日のしずくちゃん配信は涼しくて良いね〜！！助かるー！！
[5:45] @User_fe0878a1: タイトルは甘やかすって…
[5:48] @User_ace723cf: かわゆいね～
[5:52] @User_fcb4ddea: 被害者か…じゃあ甘やかすわけにはいかんなぁ
[5:55] @User_2bf38fc3: ママはママだよ
[5:56] @User_46e02420: しずくちゃん、悩みがあったら相談に乗るよー
[6:00] @User_60028655: じゃあ、しずくちゃんがバブバブしないと
[6:00] @User_14a33d4b: こんばんは～
[6:07] @User_e48a91b7: でも可愛いじゃん？言うのは仕方ないじゃん？
[6:07] @User_439eeb5c: 甘やかしてほしいのか。今日は特別に「パパ」って呼んでも良いよ
[6:12] @User_78eb35f9: しずくちゃんCHUっCHU
[6:25] @User_fcb4ddea: 確かに、暴走したしずくは我々には止められない(;´･ω･)
[6:25] @User_bd8a5d24: ママがテンション低いとドキドキする現象
[6:26] @User_2e53ebd6: こんばんはなんとかさん
[6:29] @User_bec445df: でもチャンスがあったら脱獄しますよね？
[6:31] @User_61396d22: なんとかさん
[6:36] @User_0ddfec15: ドウモなんとかサン。
[6:37] @User_b73a3cd7: はい、なんとかさん
[6:39] @User_2bf38fc3: こんなんとか～
[6:39] @User_af0e3cda: で、なんとかさんは今日どんな配信するの？
[6:40] @User_9fd4c5ec: なんとかさんw
[6:45] @User_ace723cf: Hugging faceの顔ってめっちゃ甘やかしてくれそうだよね
[6:48] @User_61396d22: ピ！
[6:49] @User_9e836a5d: ぴっ
[6:52] @User_3dd3ce80: ピッ　かわいい
[6:54] @User_e48a91b7: ピ！
[6:57] @User_fe0878a1: いかないで…
[6:58] @User_2af0b3cd: こんばんは、なんとかさん
[6:59] @User_fcb4ddea: ぴっ　可愛いなw
[6:59] @User_2bf38fc3: なんとかさんかわいいね
[7:00] @User_439eeb5c: ピッ！
[7:01] @User_0751797b: ピッ
[7:02] @User_012e88e1: ピッ
