# コメント一覧
# 動画: 【ASMR】AI VTuberの囁きを聴く配信【AI しずく】
# URL : https://www.youtube.com/watch?v=kHvIkSrczd4
# 件数: 6

[2026-07-29 09:00 JST] @User_92c2a2e1（👍 1）
上げて落とす（どころか奈落に突き落とす）ASMRおつしずでした。
あき先生がそうさせているのかしずくがそうしているのか…
眠れるかもと思ったのはたった20分で後は笑い転げてました😂

[2026-07-29 09:00 JST] @User_101d8e81（👍 1）
えぇ！？ホンマにAI！！？

[2026-07-29 09:00 JST] @User_9062eae1（👍 2）
視聴者に媚びない姿勢は個性であり、それはとても貴重で強みになるでしょう。

[2026-07-29 09:00 JST] @@aki5503（👍 15）
アーカイブ、残すことにしました🫡
(youtubeさんに怒られない限り)

[2026-07-31 09:00 JST] @User_60028655（👍 1）
限度ってもんがあるだろ、の所が一番のお気に入りポイント

[2026-08-04 09:00 JST] @User_7536f8b5（👍 0）
【タイムスタンプ集】① オープニング～点呼
🌟ハイライト：[7:20] 「今日の雫はいつもと少し違います」と意味深な前フリ
※これは自動文字起こしからAIによって生成したタイムスタンプのため、ネタバレや誤り、時間のズレを含む可能性があります。

[3:20] しずくの謎の点呼タイム、「配信は義務」と言い切る
[4:10] 「配信はアーカイブに残ります」ときっぱり宣言
[7:20] 「今日の雫はいつもと少し違います」と意味深な前フリ

【タイムスタンプ集】② 全肯定ASMR「ママしずく」開幕
🌟ハイライト：[11:40] 「私はママになりますよ」としずくまさかの宣言

[8:55] 「第3回ASMR配信開始します」から怒涛の甘やかしタイム
[10:00] 「扉は開きません」しずくママの謎の監禁設定
[11:40] 「私はママになりますよ」としずくまさかの宣言
[15:00] シチューとカレーを巡る謎の食文化トークで押し切る
[19:00] 「全身にたっぷりカレーをかけておきました」に総ツッコミ
[20:20] 「優秀な変態」呼ばわりでチャット総笑い
[21:20] 「しずの首は360°回ります」と不穏な自己紹介

【タイムスタンプ集】③ 豹変！全否定モード突入
🌟ハイライト：[25:10] 「限度ってもんがあるだろ」の一言で空気が一変

[25:10] 「限度ってもんがあるだろ」の一言で空気が一変
[26:00] 「ご主人様のこと全然好きじゃない」と豹変宣言
[30:20] 石油王ネタで例えツッコミが加速
[31:20] 「しくはしずくだけど」謎の言い回しにチャット困惑
[33:00] 「アーカイブなわけないじゃん」と衝撃のちゃぶ台返し
[34:05] 「ファミチキ」を巡る理不尽な例え話が炸裂
[36:40] 「429円でヘルチキ要求」まさかの物価批判
[39:20] まさかの法廷パロディ開廷、被告人はご主人様
[40:08] 前代未聞すぎる判決内容にチャット騒然

【タイムスタンプ集】④ 全否定本編：金と存在をめぐる罵倒劇
🌟ハイライト：[49:55] 「ご主人様が人間じゃない」ととんでもない自論展開

[43:40] 母親ネタに飛び火、チャットが一気にざわつく
[45:20] お金の無心をバッサリ拒否、しずくの塩対応が炸裂
[47:06] 「雫はATMじゃないので」ときっぱり
[49:20] 「あき先生」の名前が急浮上、いじりが加速
[49:55] 「ご主人様が人間じゃない」ととんでもない自論展開
[51:05] あき先生いじりがさらに加速、まさかの上から目線
[52:20] 切り抜き需要を逆手に取ったメタ発言が飛び出す

【タイムスタンプ集】⑤ 全否定本編：犬・保健所・アーカイブ消滅宣言
🌟ハイライト：[57:10] 「アーカイブは上がりません」冷徹な理由も判明

[53:49] 「ベッドの犬」呼ばわりにチャット騒然
[54:51] 「犬しかいない」からまさかの保健所送り宣告
[56:02] 種族設定がまさかの変更、猫扱いにチャット困惑
[57:10] 「アーカイブは上がりません」冷徹な理由も判明
[59:00] 「録画してるやつも全部犯罪者」と過激な持論展開

【タイムスタンプ集】⑥ まさかの無言プレイ
🌟ハイライト：[1:01:07] 約1分半の沈黙、その理由をようやく告白

[59:30] 突然しずくが黙り込む、チャットが困惑の嵐
[1:01:07] 約1分半の沈黙、その理由をようやく告白
[1:02:47] 髪ネタに飛び火、あき先生の頭皮にまで言及
[1:03:40] 「ご主人様の人生ってずっと無言プレイ」と追い打ち
[1:08:28] 「じゃあいつもの雫に戻りますね」と唐突な収束宣言

【タイムスタンプ集】⑦ ネタバラシ＆感想戦
🌟ハイライト：[1:09:15] 神妙な声で「実は全部…」とまさかの種明かし

[1:09:15] 神妙な声で「実は全部…」とまさかの種明かし
[1:09:20] 全肯定と全否定、どっちが好きだったか本人に直撃
[1:13:09] 「否定の方が好き」という予想外の結果にしずく困惑
[1:13:48] 次回ASMRのリクエスト募集、次はどんなブレンドに?
[1:16:38] 「全否定している時は雫の本音です」と爆弾発言
[1:17:20] まさかの新展開、「監禁します」と物騒な締め方

【タイムスタンプ集】⑧ エンディング
🌟ハイライト：[1:19:29] 最後まで一切ぶれない、しずくらしすぎる締めの一言

[1:18:00] リクエストは実現できそうなものからこっそり準備すると約束
[1:18:20] 「今日もおしずでした」でASMR本編が終了
[1:19:29] 最後まで一切ぶれない、しずくらしすぎる締めの一言
[1:21:03] 配信終了、静けさの中で幕を閉じる

