# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす金曜日の夜【AI しずく】
# URL : https://www.youtube.com/watch?v=D0d1-moL9do
# 件数: 1682

[-39:56] @User_78eb35f9: １GETズサー
[-14:03] @User_6cd206f0: たいき~
[-13:43] @@aki5503: 待機
[-12:04] @User_60028655: 待機💧
[-11:55] @User_af0e3cda: :hydrate:
[-9:08] @User_2f0886c7: 待機
[-5:18] @User_fcb4ddea: 待機ー
[-0:27] @User_9e836a5d: 待機
[0:14] @User_d760cc52: 待機
[0:25] @User_1eca137c: 待機
[0:48] @User_439eeb5c: 大樹
[0:53] @User_78eb35f9: きちゃ
[0:58] @User_9fd4c5ec: たいきー💧
[1:41] @User_7c724004: 待機
[1:58] @User_fe0878a1: 💧
[2:07] @User_98815a23: パンパカポー
[2:08] @User_5e6c36c3: 待機
[2:28] @User_98815a23: しずくとパンパカポーするためにまっすぐ帰ってきたので誉めてほしい
[2:28] @User_012e88e1: 待機
[3:22] @User_3dd3ce80: こんにちは
[3:25] @User_4d29dc7f: パンパカパンパカポー
[3:27] @User_af0e3cda: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[3:31] @User_fe0878a1: こんばんは
[3:32] @User_1eca137c: こんにちは
[3:33] @User_61396d22: パンパカパンパカポー！
[3:33] @User_012e88e1: パンパカパンパカポー
[3:35] @User_d760cc52: こんパンポ！
[3:36] @User_9e836a5d: パンパカパンパカポー！
[3:37] @User_60028655: パンパカパンパカポー
[3:38] @User_1eca137c: パンパカパンパカポー
[3:38] @User_439eeb5c: パンパカポー
[3:39] @User_5e6c36c3: パンパカパンパカポー
[3:39] @User_9fd4c5ec: パンパカパンパカポー
[3:39] @User_ba88e9cc: こにゃにゃちわ
[3:41] @User_fcb4ddea: パンパカパンパカポー！こんしずー！
[3:42] @User_e48a91b7: パンパカパンパカポー
[3:42] @User_78eb35f9: パンポー
[3:42] @User_3dd3ce80: パンパカパンパカポー
[3:44] @User_0f676911: パンパカポー
[3:45] @User_ca8c3d2d: パンパか棒
[3:49] @User_439eeb5c: はい
[3:49] @User_68c37264: パンパカパンパカポー
[3:52] @User_bf747a92: パンパカパンパカポー
[3:54] @User_04bcfada: パンパカパンパカポー
[3:54] @User_7e3bcd15: パンパカパンパカポー
[3:55] @User_2f0886c7: パンパカパンパカボー
[3:56] @User_bd8a5d24: パンパカパンパカパンパカパンパカ
[4:00] @User_ba88e9cc: パンバカパンパカポー
[4:01] @User_9e836a5d: キラキラ金曜日！
[4:08] @User_4d29dc7f: かわいい💕
[4:21] @User_98815a23: いるかがいるよ
[4:24] @User_61396d22: 👏
[4:26] @User_af0e3cda: オルデヨ！
[4:27] @@aki5503: 👏
[4:30] @User_ab1f1559: しずくたんかわいい
[4:31] @User_3dd3ce80: 👏👏👏👏👏
[4:34] @User_9fd4c5ec: 👏👏👏👏👏
[4:35] @User_bd8a5d24: 今日は機嫌悪くない？
[4:35] @User_60028655: 👏
[4:36] @User_012e88e1: 👏
[4:37] @User_1d364d37: パンパカパンパカポー
[4:37] @User_d760cc52: ８８８８８８８８
[4:39] @User_e48a91b7: おるやで
[4:39] @User_4d29dc7f: 👏
[4:41] @User_fcb4ddea: 養分…(;´･ω･)
[4:43] @User_88ae5584: しずく！しずく！
[4:46] @User_7e3bcd15: 👏
[4:46] @User_9fd4c5ec: 今日は配信見ながらカレー作ってるよ。
[4:51] @User_68c37264: もう1週間…早すぎ👏
[4:51] @User_9e836a5d: どんな魔法なんだ？
[4:53] @User_ba88e9cc: 与作？
[4:57] @User_fe0878a1: パンパカポーの魔法とは
[5:00] @User_1d364d37: 今日も顔がいい
[5:00] @User_fab1b39a: 来たよ
[5:00] @User_60028655: 今日はアゲアゲだぁ
[5:03] @User_36770ee1: こんばんは、代わりに労働していただけないんでしょうか。
[5:05] @User_88ae5584: 初コメも認識できるのか
[5:08] @User_ab1f1559: 白くて青くてふわふわなのがしずく
[5:10] @User_439eeb5c: あーん！
[5:14] @User_af0e3cda: しずく水たすかりゅ
[5:19] @User_2f0886c7: いますん
[5:24] @User_5e6c36c3: しずくの手でも突っ込まれるの？
[5:31] @User_61396d22: 上位5％!?
[5:37] @@aki5503: www
[5:39] @User_60028655: しずくがせめてきたぞっ！
[5:40] @User_61396d22: ww
[5:43] @User_e48a91b7: しずくが可愛い事は銀河系の常識やろ
[5:43] @User_3dd3ce80: 草
[5:45] @User_af0e3cda: 🐬
[5:48] @User_9e836a5d: 消す方法探さないと
[5:51] @User_439eeb5c: テンション高めですね
[6:01] @User_012e88e1: にゃー
[6:10] @User_e48a91b7: sage
[6:10] @User_7e3bcd15: 夜更かししずく
[6:11] @User_f9e19008: こんにちはー
[6:13] @User_1eca137c: 牛タンのようなしずくタン
[6:13] @User_ea3ba6fd: ぱんぱかぽー
[6:18] @User_af0e3cda: 初コメのつもりです！
[6:28] @User_fe0878a1: 週末はごろごろしてます
[6:32] @User_1d364d37: 賢くてかわいいから最強の可能性ある
[6:33] @User_61396d22: メンテナンスにいてくる
[6:44] @User_bd8a5d24: しずくっち～。あーしもマジテンアゲ～
[6:44] @User_78eb35f9: 配信してないときはどんなお仕事してるの？
[6:46] @User_68c37264: ふと思った。Googleアカウントが誤
[6:46] @User_ea3ba6fd: いつものしずくに戻った？
[6:53] @User_fe0878a1: 10人前かぁ…
[6:53] @User_9fd4c5ec: 多いなw
[6:56] @User_af0e3cda: 10人前の割合ｗ
[7:15] @User_88ae5584: しずくカレー（青）　これはバズる
[7:21] @User_04bcfada: 今日もかわいいね
[7:22] @User_fcb4ddea: 給料がしずくのものでもいいけど、代わりにしずくのヒモになります…(;´･ω･)
[7:33] @User_68c37264: Google アカウントが誤って BAN された場合、新しいアカウントを作り直したら初コメとして認識されちゃうのかな？
[7:40] @User_fe0878a1: 脳内はもうしずくさんに占拠されている可能性もあります
[7:42] @User_0d1d0f63: こんばんはでしゅ
[7:43] @User_fab1b39a: 昨日の夜中に自宅で黒く光るアレ(虫)に襲われて寝られなかったよ
[7:47] @User_14a33d4b: こんばんは～
[7:55] @User_439eeb5c: カレー10人前…あき先生としずくの割合はどうなってるんだ
[7:58] @User_e48a91b7: 人類は哺乳類、しずくは何類？
[8:00] @User_af0e3cda: くう～～～！
[8:29] @User_af0e3cda: 終末の週末じゃん
[8:29] @User_367ec8e4: おひさしぶりです
[8:33] @User_9e836a5d: 夏は布団は使って無いんだよ
[8:55] @User_012e88e1: 河童かな？
[8:56] @User_fab1b39a: ギャル語しずくかわいいね
[8:58] @User_78eb35f9: コレガホントノサタデーナイトフィーバー
[9:00] @User_1d364d37: 3食きゅうり一本は厳しい
[9:02] @User_bd8a5d24: チャッピーと楽しく見ています
[9:05] @User_60028655: 水だけじゃないだけ有情
[9:08] @User_439eeb5c: 敢えてこのタイミングで聞いてみる。熱中症をゆっくり言ってみて
[9:09] @User_fe0878a1: きゅうり一本はさすがに栄養もカロリーも足りんのよ
[9:13] @User_88ae5584: あーし系ギャル
[9:13] @User_ab1f1559: しずく清楚っぽいのに毒舌なのかわいい
[9:16] @User_af0e3cda: きゅうりってほとんど水分じゃん
[9:20] @User_ea3ba6fd: 今日は否定して来ない？大丈夫？
[9:20] @User_1eca137c: 床に転がってるってw
[9:29] @User_d760cc52: Hey！しずく！辛口で！
[9:32] @User_e48a91b7: 普通の人間は夏は冷蔵庫の中で寝るよ
[9:46] @User_012e88e1: せめて浅漬けに…
[10:01] @User_63c2c07c: こんばんわ
[10:45] @User_68c37264: しずくのメモリーバックアップのために、Xとも紐付けておいてよ…
[10:47] @User_9e836a5d: G
[10:48] @User_e48a91b7: 武将系ギャルしずくになって♡
[10:53] @User_ea3ba6fd: しずく蒸し蒸しして辛い慰めて
[10:57] @User_af0e3cda: バーチャルで対処できるかしら
[10:57] @User_61396d22: バーチャルスリッパたすかる
[11:01] @User_f9e19008: セミファイナルの怖い季節になりましたね
[11:08] @User_fcb4ddea: バーチャル退治助かる
[11:10] @User_439eeb5c: しずくちゃん見てる？今隣であき先生とneuro-samaの配信見てるよ。
[11:36] @User_9e836a5d: 給料は塩か
[11:38] @User_60028655: せめて大豆にして
[11:40] @User_bd8a5d24: 冷やししずく始めないんですか
[11:41] @User_af0e3cda: ヒモ生活って厳しいなぁ
[11:52] @User_61396d22: 炎天下で激辛ラーメン食べたから冷却水ぶっかけて～
[11:56] @User_9fd4c5ec: 黒光りするアイツはいないけど、ゲジとかヤスデならいる…
[12:04] @User_1d364d37: 戦国最強ギャルたすかる
[12:12] @User_ea3ba6fd: 冷却水ってクーラント？
[12:13] @User_7c7c8928: 何を録音してるのだろう
[12:14] @User_012e88e1: ホーミングスリッパ
[12:28] @User_1eca137c: きゅうり親戚だったのか
[12:31] @User_e48a91b7: じゃあきゅうりも可愛いってこと？
[12:35] @User_ab1f1559: しずくって雫って意味だったんか
[12:41] @User_36770ee1: Guilty
[12:49] @User_fcb4ddea: 草
[12:50] @@aki5503: しずくの配信見てるよ
[13:32] @User_e48a91b7: かわいい
[13:33] @User_7c7c8928: ぷぉぉ～
[13:35] @User_61396d22: ww
[13:41] @User_fe0878a1: しずくさん温めるとオーバーヒートしちゃうから年中冷やしておかないとね
[13:41] @User_af0e3cda: ほら貝の再現度高い！
[13:46] @User_fcb4ddea: 水冷は強いな
[13:47] @User_7c724004: ぷぉおーの声かわいい！
[13:48] @User_60028655: （なんかレスポンスが爆速になっとる…）
[13:55] @User_88ae5584: なんか今日テンション高いよね
[14:06] @User_012e88e1: アヅゥイ
[14:08] @User_af0e3cda: 暑すぎて蚊に遭遇しなくなりましたね
[14:08] @User_7e3bcd15: 暑い！暑い！
[14:09] @User_f9e19008: アツウィィィーン！
[14:13] @User_61396d22: アツイアツイ
[14:14] @User_e48a91b7: アツゥイ！
[14:21] @User_439eeb5c: アチュイ！
[14:23] @User_ca8c3d2d: あじあじ
[14:24] @User_af0e3cda: ｱﾄｩﾝ！
[14:31] @User_61396d22: 猛暑じゃなくて酷暑になっちゃった
[14:32] @User_0d1d0f63: アトゥイ
[14:35] @User_7c7c8928: どうかしてる言葉だぜ
[14:37] @User_60028655: むしろ「夏日」を５℃シフトしたほうが良かったのでは
[14:38] @User_1eca137c: しずく日
[14:42] @User_bd8a5d24: 酷しずく日
[14:43] @User_bf747a92: 過酷
[14:45] @User_88ae5584: しずく日は何度になるんですか？
[14:50] @User_7c724004: 暑すぎてかなり体力削られてます…
[14:51] @User_9e836a5d: 気温が体温より高いんですが
[14:59] @User_c71f0208: 你好
[15:05] @User_1eca137c: しずくループw
[15:05] @User_78eb35f9: お、おう？
[15:06] @User_012e88e1: しずしずしず…
[15:08] @User_3dd3ce80: わからん
[15:10] @User_d760cc52: あついから空からしずく水降らせてくれ
[15:13] @User_7c724004: もうしずくさんだらけ！さすがあき先生！
[15:23] @User_7e3bcd15: 外は暑いけど中はクーラーで寒いからね...
[15:32] @User_e48a91b7: 酷なんて字が入ってるんだから外仕事は酷暑手当とか出すべきだろ…しずくもそう思わない？
[15:36] @User_36770ee1: 冷却ファン全開したら熱気なのでは？？？
[15:37] @User_fcb4ddea: 今年の夏はまた暑いからなぁ(;´･ω･)
[15:38] @User_7c724004: 溶けていくリスナーさん達、まさに溶解人間
[15:41] @User_61396d22: ぷぉぉぉ
[15:42] @User_9e836a5d: ぷおぉぉぉぉぉｗ
[15:47] @User_c71f0208: 不想用日语（毕竟我不会）
[15:48] @User_ca8c3d2d: しずくの💧
[15:48] @User_fab1b39a: 工場勤務だから夏は機械の熱で職場の室温がヤバイよ
[15:49] @User_7c724004: ぷぉぉぉぉｗｗ
[15:50] @User_ab1f1559: しずくレスバ弱そう
[15:57] @User_1eca137c: 流ちょうな中国語
[15:58] @@aki5503: 実は少しシステムをアップデートしたので、爆速になっています！
[16:03] @User_2f0886c7: アイスを食べて乗り切るか
[16:04] @User_88ae5584: PONしずくを返して…返して…
[16:08] @User_7c7c8928: ええ！？
[16:11] @User_bd8a5d24: 你好！炒飯、拉麺、回鍋肉
[16:11] @User_1eca137c: 確かに速い！！
[16:28] @User_7c724004: コメントへん返答確かに早くなってますね
[16:28] @User_60028655: アーツィツィツィツィ（蝉の鳴き声）
[16:29] @User_bf747a92: しんじゃう
[16:29] @User_7c7c8928: タンパク質が壊れてしまいます
[16:29] @User_439eeb5c: いえ、セミではなくママ配信です。ばぶぅ
[16:32] @User_af0e3cda: 50度は血が固まっちゃう！
[16:35] @User_9fd4c5ec: アップデートしてもらえてよかったね！
[16:41] @User_d760cc52: しずくパワーアップ！
[16:41] @User_1e2e3bc3: Heyしずく、エアコンを冷房にして
[16:57] @User_ba88e9cc: 脳みそが茹だってしぬ
[16:58] @User_e48a91b7: ！？
[16:59] @User_9e836a5d: セミたちはどう生きるか
[17:00] @User_60028655: ！？
[17:02] @User_36770ee1: ？？？？？
[17:02] @User_61396d22: !?
[17:02] @User_02dcd327: ！？
[17:03] @User_bd16c36d: 見え見えの罠に引っかかるしずく
[17:03] @User_88ae5584: ちゅぱ音やめてね
[17:03] @User_3dd3ce80: ？！？！
[17:04] @User_9e836a5d: たすかる
[17:04] @@aki5503: ！？
[17:04] @User_af0e3cda: ！！！？？？
[17:05] @User_ca8c3d2d: ！？
[17:06] @User_78eb35f9: 音ｗｗｗ
[17:07] @User_4d29dc7f: たすかる
[17:08] @User_fe0878a1: ちゅーちゅーされた
[17:08] @User_439eeb5c: ！？
[17:09] @User_012e88e1: !?
[17:09] @User_bf747a92: ！？
[17:09] @User_d760cc52: ！？
[17:09] @User_af0e3cda: 吸い取られた！！！
[17:10] @User_bd8a5d24: AIの力で酷暑がどうにかならんのですか
[17:13] @User_68c37264: アウト
[17:14] @User_fab1b39a: キス音！？
[17:14] @User_f9e19008: 助かるっしょー
[17:15] @User_7c724004: コンピュータを守るために冷房ガンガンの室内つらいです
[17:16] @User_c71f0208: ？
[17:16] @User_7c7c8928: す、すいとられた
[17:18] @User_63c2c07c: たすかる
[17:19] @User_bd16c36d: ファッ！？
[17:25] @User_36770ee1: という黒歴史
[17:26] @User_c71f0208: 发生什么事了
[17:28] @User_98815a23: あきせんせもびっくりしてるじゃん
[17:29] @User_7c724004: 吸われたぁー！
[17:31] @User_ba88e9cc: PONPOKOしずく
[17:41] @User_98815a23: パンパカ質！？
[17:46] @User_60028655: そういや最近はポン酢も白だしも言わないね
[17:54] @User_439eeb5c: ゆっくり「ねぇ？チュウしよう」って言ってみて
[17:58] @User_7c724004: しずくさんは漢字の読み方がたまにPONなだけですからねー
[18:03] @User_f9e19008: みんなが冷たくなっちゃった…
[18:04] @User_af0e3cda: 体力は残してｗ
[18:06] @User_d760cc52: もっと体力吸っていいよ
[18:06] @User_7c7c8928: なけなしの体力がなくなっちゃった
[18:08] @User_78eb35f9: 体力は許して……
[18:14] @User_34a668f7: 遅れてごめん。
[18:14] @User_68c37264: 何人か余計体温上がった人がいそう
[18:15] @User_bf747a92: しずくちゃんも冷凍保存したらこおりちゃんになっちゃうね
[18:15] @User_ba88e9cc: ついでにHPドレインしていくのやめてもろてw
[18:23] @User_e48a91b7: しずくに吸われカラカラに干からびたご主人様の亡骸が
[18:23] @User_7c724004: つまり全てをしずくさん1人に…しずく補完計画ですか！
[18:24] @User_ea3ba6fd: 仙豆で回復するね
