# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす金曜日の夜【AI しずく】
# URL : https://www.youtube.com/watch?v=D0d1-moL9do
# 件数: 1687

[-39:56] @User_2ecda813: １GETズサー
[-14:03] @User_5a950288: たいき~
[-13:43] @aki5503: 待機
[-12:04] @User_5a77a7b4: 待機💧
[-11:55] @User_590a2335: UCkszU2WH9gy1mb0dV-11UJg/fAF1XtDQMIrK8gTUoo3wAg
[-9:08] @User_a20ec04f: 待機
[-5:18] @User_476d8781: 待機ー
[-0:27] @User_d0753fd1: 待機
[0:14] @User_bc2e7db7: 待機
[0:25] @User_5bfd7e5f: 待機
[0:48] @User_3ea56962: 大樹
[0:53] @User_2ecda813: きちゃ
[0:58] @User_74cb13db: たいきー💧
[1:41] @User_b9933007: 待機
[1:58] @User_8b7242c7: 💧
[2:07] @User_6c97afae: パンパカポー
[2:08] @User_ca605e00: 待機
[2:28] @User_6c97afae: しずくとパンパカポーするためにまっすぐ帰ってきたので誉めてほしい
[2:28] @User_1d118d75: 待機
[3:22] @User_6992daac: こんにちは
[3:25] @User_8b14d2fb: パンパカパンパカポー
[3:27] @User_590a2335: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[3:31] @User_8b7242c7: こんばんは
[3:32] @User_5bfd7e5f: こんにちは
[3:33] @User_719f9991: パンパカパンパカポー！
[3:33] @User_1d118d75: パンパカパンパカポー
[3:35] @User_bc2e7db7: こんパンポ！
[3:36] @User_d0753fd1: パンパカパンパカポー！
[3:37] @User_5a77a7b4: パンパカパンパカポー
[3:38] @User_5bfd7e5f: パンパカパンパカポー
[3:38] @User_3ea56962: パンパカポー
[3:39] @User_ca605e00: パンパカパンパカポー
[3:39] @User_74cb13db: パンパカパンパカポー
[3:39] @User_2d4fb6d8: こにゃにゃちわ
[3:41] @User_476d8781: パンパカパンパカポー！こんしずー！
[3:42] @User_75f1c92d: パンパカパンパカポー
[3:42] @User_2ecda813: パンポー
[3:42] @User_6992daac: パンパカパンパカポー
[3:44] @User_1e8a73de: パンパカポー
[3:45] @User_9a39f90e: パンパか棒
[3:49] @User_3ea56962: はい
[3:49] @User_6c321aed: パンパカパンパカポー
[3:52] @User_b89cfecd: パンパカパンパカポー
[3:54] @User_d915163d: パンパカパンパカポー
[3:54] @User_eb058581: パンパカパンパカポー
[3:55] @User_a20ec04f: パンパカパンパカボー
[3:56] @User_cd48a1db: パンパカパンパカパンパカパンパカ
[4:00] @User_2d4fb6d8: パンバカパンパカポー
[4:01] @User_d0753fd1: キラキラ金曜日！
[4:08] @User_8b14d2fb: かわいい💕
[4:21] @User_6c97afae: いるかがいるよ
[4:24] @User_719f9991: 👏
[4:26] @User_590a2335: オルデヨ！
[4:27] @aki5503: 👏
[4:30] @User_848b01f4: しずくたんかわいい
[4:31] @User_6992daac: 👏👏👏👏👏
[4:34] @User_74cb13db: 👏👏👏👏👏
[4:35] @User_cd48a1db: 今日は機嫌悪くない？
[4:35] @User_5a77a7b4: 👏
[4:36] @User_1d118d75: 👏
[4:37] @User_70eb4fb8: パンパカパンパカポー
[4:37] @User_bc2e7db7: ８８８８８８８８
[4:39] @User_75f1c92d: おるやで
[4:39] @User_8b14d2fb: 👏
[4:41] @User_476d8781: 養分…(;´･ω･)
[4:43] @User_1544234b: しずく！しずく！
[4:46] @User_eb058581: 👏
[4:46] @User_74cb13db: 今日は配信見ながらカレー作ってるよ。
[4:51] @User_6c321aed: もう1週間…早すぎ👏
[4:51] @User_d0753fd1: どんな魔法なんだ？
[4:53] @User_2d4fb6d8: 与作？
[4:57] @User_8b7242c7: パンパカポーの魔法とは
[5:00] @User_70eb4fb8: 今日も顔がいい
[5:00] @User_955672e4: 来たよ
[5:00] @User_5a77a7b4: 今日はアゲアゲだぁ
[5:03] @User_9d63cc9b: こんばんは、代わりに労働していただけないんでしょうか。
[5:05] @User_1544234b: 初コメも認識できるのか
[5:08] @User_848b01f4: 白くて青くてふわふわなのがしずく
[5:10] @User_3ea56962: あーん！
