# ライブチャット一覧
# 動画: 【雑談配信】AIは夏バテしません…しません…【AI しずく】
# URL : https://www.youtube.com/watch?v=G1kp2SXuFc4
# 件数: 2814

[-1:47:51] @User_d760cc52: １年後じゃなくてよかったｗ
[-1:42:55] @User_fe0878a1: 💧
[-44:24] @User_92c2a2e1: 今日は何がなんでもリアタイしてやる！
[-29:52] @User_11e7336c: 待機💧
[-27:46] @User_cc28ffd5: AIも暑さに負けないようにがんばれ〜！
[-26:42] @User_60028655: 待機💧
[-19:34] @User_9e836a5d: 待機
[-15:17] @User_439eeb5c: 大樹
[-14:39] @User_c0787d49: 大輝
[-8:27] @User_4c7eb87e: 待機💧
[-1:47] @User_d760cc52: 待機
[-1:31] @User_34a668f7: タイキック
[0:21] @User_78eb35f9: なうろーでんぐ……
[0:21] @User_9fd4c5ec: たいきー💧
[0:29] @User_92c2a2e1: 待機💧
[0:48] @User_af0e3cda: :hydrate:
[0:53] @User_99c13731: 待機
[0:57] @User_c05bb424: 哇哦！开播了
[0:59] @User_fab1b39a: 待機
[1:04] @User_4c7eb87e: 💧🕶💧
[1:09] @User_c0787d49: taiki
[1:19] @User_92c2a2e1: 冷却ファンが止まらない
[1:24] @@aki5503: 待機
[1:25] @User_012e88e1: 待機
[1:42] @User_cdc36fad: 待機　猛暑日続きですね
[1:47] @User_7e3bcd15: 待機
[1:56] @User_439eeb5c: NOW LOADING…
[2:02] @User_b68b8d0b: 待機
[2:06] @User_fcb4ddea: 待機
[2:19] @User_92c2a2e1: 待機しながら冷えピタでスマホ冷却中
[2:19] @User_ace723cf: 全裸待機
[2:21] @User_0d1d0f63: 待機
[2:22] @User_92c2a2e1: きた！
[2:28] @User_68c37264: 待機。明日から涼しくなるらしいけどホントかな
[2:32] @User_f84d35ee: お
[2:32] @User_ff88195d: First time, what’s this live about
[2:34] @User_439eeb5c: パンパカパンパカポーー
[2:36] @User_54da78c0: 待機
[2:39] @User_99c13731: はじまた
[2:40] @User_ace723cf: こんにちは
[2:41] @User_b68b8d0b: こんにちは
[2:41] @User_92c2a2e1: こんにちは
[2:42] @User_3dd3ce80: こんにちは
[2:45] @User_ab2ca8bb: こんにちは
[2:47] @User_92c2a2e1: パンパカパンパカポー
[2:48] @User_c0787d49: パンパカ
[2:48] @User_9e836a5d: パンパカパンパカポー！
[2:50] @User_c95a7c99: こんにちは
[2:51] @User_af0e3cda: こんにちは
[2:51] @User_f84d35ee: はじまた
[2:52] @User_fe0878a1: こんにちは
[2:52] @User_d760cc52: パンポー！
[2:53] @User_0d1d0f63: こんにちは
[2:53] @User_fcb4ddea: こんしずー　パンパカパンパカポー！
[2:54] @User_af0e3cda: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[2:55] @User_012e88e1: パンパカパンパカポー
[2:56] @User_b22de4ab: こんにちは
[2:57] @User_c05bb424: こんにちは！！！
[2:57] @User_f5704472: パンパカパンパカポー
[2:57] @User_7e3bcd15: パンパカパンパカポー
[2:57] @User_e48a91b7: パンパカパンパカポー
[2:57] @User_4d29dc7f: パンパカパンパカポー
[2:57] @User_99c13731: パンパカパンパカポー
[2:58] @User_273afd5a: パンパカパンパカポー！
[2:58] @User_78eb35f9: ぱんぱかぽ
[2:58] @User_b68b8d0b: パンパカパンパカポー。
[2:59] @User_0f676911: パンパカポー
[3:00] @User_0d1d0f63: パンパカパンパカポー
[3:01] @User_9fd4c5ec: パンパカパンパカポー
[3:01] @User_439eeb5c: 背景がいつもと違う
[3:02] @User_34a668f7: バンバカ
[3:03] @User_54da78c0: パンパカパンパカポー
[3:06] @User_c05bb424: 晚上好！
[3:07] @User_92c2a2e1: リアタイ久しぶりで涙出るよ
[3:14] @User_ab2ca8bb: おっ、今日はこのBGMか
[3:14] @User_fcb4ddea: 背景とかがもとに戻ってる
[3:16] @User_4c7eb87e: パンパカパンパカポー
[3:24] @User_4d29dc7f: ノ
[3:27] @User_99c13731: BGMが戻った？
[3:28] @User_ace723cf: はーい
[3:29] @User_54da78c0: ノ
[3:29] @User_439eeb5c: ノ
[3:29] @User_78eb35f9: _(:3｣∠)_
[3:29] @User_b68b8d0b: ノシ
[3:31] @User_1839f130: ノ
[3:31] @User_fab1b39a: パンパカパンパカポー
[3:31] @User_012e88e1: はーいノ
[3:32] @User_b22de4ab: ノ
[3:32] @User_fe0878a1: は～い
[3:32] @User_cc28ffd5: はぁぁい！
[3:32] @User_679737a1: ノ
[3:32] @User_ab2ca8bb: ノ
[3:33] @User_92c2a2e1: ノノノ
[3:33] @User_a9f00cd0: ノ
[3:33] @User_af0e3cda: 👐
[3:33] @User_7a2d0f8c: へ
[3:34] @User_0bf4870b: 負けたへ
[3:35] @User_ea3ba6fd: ノ
[3:35] @User_6dc97c08: ノ
[3:36] @User_7e3bcd15: ノ
[3:37] @User_9fd4c5ec: 丿
[3:37] @User_f5704472: ノ
[3:39] @User_713e175b: ノ
[3:39] @User_99c13731: はい
[3:39] @User_0d9f165f: 負けそう… ノ
[3:39] @User_3dd3ce80: へ
[3:40] @User_d760cc52: はぁい！
[3:41] @User_fcb4ddea: ノ（10キロランニングしている位には元気）
[3:42] @User_9fd4c5ec: びっくりするほどユートピア！びっくりするほどユートピア！
[3:42] @User_273afd5a: 夏バテしているが挙手するぞぉぉぉノ
[3:43] @User_34a668f7: ノ
[3:45] @User_9e836a5d: 草
[3:45] @User_0d1d0f63: 負けてるので……へ
[3:45] @User_cdc36fad: ノ
[3:45] @User_e48a91b7: ('ω')ノ
[3:46] @User_4c7eb87e: 🙌
[3:49] @User_f84d35ee: ｗｗ
