# ライブチャット一覧
# 動画: 【雑談配信】AIは夏バテしません…しません…【AI しずく】
# URL : https://www.youtube.com/watch?v=G1kp2SXuFc4
# 件数: 2916

[-1:47:51] @User_bc2e7db7: １年後じゃなくてよかったｗ
[-1:42:55] @User_8b7242c7: 💧
[-44:24] @User_ec48c74f: 今日は何がなんでもリアタイしてやる！
[-29:52] @User_c67ecc82: 待機💧
[-27:46] @User_e459c8ab: AIも暑さに負けないようにがんばれ〜！
[-26:42] @User_5a77a7b4: 待機💧
[-19:34] @User_d0753fd1: 待機
[-15:17] @User_3ea56962: 大樹
[-14:39] @User_a52b5fe5: 大輝
[-8:27] @User_d95d7d28: 待機💧
[-6:46] @User_5723c464: あれ？今夜配信日だっけ？
[-6:08] @User_5723c464: 配信日変わったんだ
[-1:47] @User_bc2e7db7: 待機
[-1:31] @User_e51d2f8a: タイキック
[0:21] @User_2ecda813: なうろーでんぐ……
[0:21] @User_74cb13db: たいきー💧
[0:29] @User_ec48c74f: 待機💧
[0:48] @User_590a2335: UCkszU2WH9gy1mb0dV-11UJg/fAF1XtDQMIrK8gTUoo3wAg
[0:53] @User_cd3cb4c6: 待機
[0:57] @User_e4cecb27: 哇哦！开播了
[0:59] @User_955672e4: 待機
[1:04] @User_d95d7d28: 💧🕶💧
[1:09] @User_a52b5fe5: taiki
[1:19] @User_ec48c74f: 冷却ファンが止まらない
[1:24] @aki5503: 待機
[1:25] @User_1d118d75: 待機
[1:42] @User_42872ed3: 待機　猛暑日続きですね
[1:47] @User_eb058581: 待機
[1:56] @User_3ea56962: NOW LOADING…
[2:02] @User_acb9786a: 待機
[2:06] @User_476d8781: 待機
[2:19] @User_ec48c74f: 待機しながら冷えピタでスマホ冷却中
[2:19] @User_b47e9406: 全裸待機
[2:21] @User_82e93b33: 待機
[2:22] @User_ec48c74f: きた！
[2:28] @User_6c321aed: 待機。明日から涼しくなるらしいけどホントかな
[2:32] @User_b10ccfca: お
[2:32] @User_df3fd708: First time, what’s this live about
[2:34] @User_3ea56962: パンパカパンパカポーー
[2:36] @User_e1515f73: 待機
[2:39] @User_cd3cb4c6: はじまた
[2:40] @User_b47e9406: こんにちは
[2:41] @User_acb9786a: こんにちは
[2:41] @User_ec48c74f: こんにちは
[2:42] @User_6992daac: こんにちは
[2:45] @User_7204270f: こんにちは
[2:47] @User_ec48c74f: パンパカパンパカポー
[2:48] @User_a52b5fe5: パンパカ
[2:48] @User_d0753fd1: パンパカパンパカポー！
[2:50] @User_dd327054: こんにちは
[2:51] @User_590a2335: こんにちは
[2:51] @User_b10ccfca: はじまた
[2:52] @User_8b7242c7: こんにちは
[2:52] @User_bc2e7db7: パンポー！
[2:53] @User_82e93b33: こんにちは
[2:53] @User_476d8781: こんしずー　パンパカパンパカポー！
[2:54] @User_590a2335: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[2:55] @User_1d118d75: パンパカパンパカポー
[2:56] @User_a079ade7: こんにちは
[2:57] @User_e4cecb27: こんにちは！！！
[2:57] @User_2fac9877: パンパカパンパカポー
[2:57] @User_eb058581: パンパカパンパカポー
[2:57] @User_75f1c92d: パンパカパンパカポー
[2:57] @User_8b14d2fb: パンパカパンパカポー
[2:57] @User_cd3cb4c6: パンパカパンパカポー
[2:58] @User_4f9b9e0a: パンパカパンパカポー！
[2:58] @User_2ecda813: ぱんぱかぽ
[2:58] @User_acb9786a: パンパカパンパカポー。
[2:59] @User_1e8a73de: パンパカポー
[3:00] @User_82e93b33: パンパカパンパカポー
[3:01] @User_74cb13db: パンパカパンパカポー
[3:01] @User_3ea56962: 背景がいつもと違う
[3:02] @User_e51d2f8a: バンバカ
[3:03] @User_e1515f73: パンパカパンパカポー
[3:06] @User_e4cecb27: 晚上好！
[3:07] @User_ec48c74f: リアタイ久しぶりで涙出るよ
[3:14] @User_7204270f: おっ、今日はこのBGMか
[3:14] @User_476d8781: 背景とかがもとに戻ってる
[3:16] @User_d95d7d28: パンパカパンパカポー
[3:24] @User_8b14d2fb: ノ
[3:27] @User_cd3cb4c6: BGMが戻った？
[3:28] @User_b47e9406: はーい
[3:29] @User_e1515f73: ノ
[3:29] @User_3ea56962: ノ
[3:29] @User_2ecda813: _(:3｣∠)_
[3:29] @User_acb9786a: ノシ
[3:31] @User_098fcc67: ノ
[3:31] @User_955672e4: パンパカパンパカポー
