# ライブチャット一覧
# 動画: AIと夏の思い出をはじめましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=fq4MogjeGDE
# 件数: 1525

[-1:59:19] @User_d760cc52: たいき
[-1:07:24] @User_60028655: 待機💧
[-50:31] @User_d591add1: みなさんパンパカパンパカポー。
[-33:15] @User_92c2a2e1: 待機💧
[-31:12] @User_9e836a5d: 待機💧
[-27:58] @User_11e7336c: 待機💧
[-27:31] @User_7536f8b5: 💧
[-23:49] @User_ace723cf: 待機
[-22:31] @User_0f8f478b: たいき💧
[-9:00] @User_4d29dc7f: 待機
[-3:54] @User_61396d22: 待機💧
[-0:57] @User_7c724004: 待機💧
[0:17] @User_a2b794ac: 大気圏
[0:18] @User_ace723cf: こんにちは
[0:21] @User_78eb35f9: なうろーでぃん・・・
[0:31] @User_439eeb5c: 大樹
[0:31] @User_5e6c36c3: ワクワク待機
[0:32] @User_92c2a2e1: 待機💧
[0:33] @User_0d1d0f63: 待機でしゅ
[0:34] @User_a46b018b: 待機💧
[0:36] @User_012e88e1: 待機
[0:47] @@aki5503: Now Loading…
[0:49] @User_439eeb5c: NOW LOADING…
[0:50] @User_92c2a2e1: 夏休みとは…
[0:52] @User_ace723cf: お中元送れない
[1:01] @User_8cc3813f: 待機💧
[1:04] @User_d760cc52: 期待
[1:10] @User_a126ec08: 待機
[1:21] @User_cdc36fad: 待機
[1:34] @User_65723f47: きたわね
[1:34] @User_98815a23: パンパカパンパカ
[2:01] @User_92c2a2e1: この待機画面の1時間耐久あればゆっくり寝られそう
[2:07] @User_4d29dc7f: 待機💧
[2:27] @User_2e53ebd6: 既に買収は効かぬ(*'ω'*)
[3:04] @User_68c37264: 冷却待機💧
[3:12] @User_0d07053e: 待機〜
[3:32] @User_439eeb5c: そういえば、このローディングの画面でなんでaだけ小文字なんだ？
[3:33] @User_34a668f7: 待機
[3:34] @User_fcb4ddea: 待機ー
[3:38] @User_ace723cf: パンパカパンパカポー
[3:40] @User_7c724004: こんにちは
[3:41] @User_92c2a2e1: こんにちは
[3:41] @User_8cc3813f: こんばんは
[3:41] @User_3dd3ce80: こんにちは
[3:42] @User_11e7336c: こんにちは
[3:43] @@aki5503: こんにちは
[3:46] @User_174e5121: こんにちは
[3:47] @User_92c2a2e1: パンパカパンパカポー
[3:47] @User_af0e3cda: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[3:47] @User_9e836a5d: パンパカパンパカポー！
[3:48] @User_b2138ead: パンパカパンパカポー
[3:48] @User_4d29dc7f: パンパカパンパカポー
[3:49] @User_fcb4ddea: こんしず～　パンパカパンパカポー！
[3:50] @@aki5503: パンパカパンパカポー
[3:50] @User_3dd3ce80: パンパカパンパカポー
[3:50] @User_439eeb5c: こんにちは
[3:51] @User_7c724004: パンパカパンカポー
[3:51] @User_f205e40c: ぱんぱかぱんぱかぽー
[3:51] @User_e48a91b7: こんにちは
[3:52] @User_ee8ff9ef: こんにちは
[3:53] @User_0d07053e: こんばんは〜ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊｶﾎﾟ〜
[3:53] @User_61396d22: パンパカパンパカポー！
[3:53] @User_012e88e1: パンパカパンパカポー
[3:54] @User_60028655: パンパカパンパカポー
[3:54] @User_11e7336c: パンパカパンパカポー
[3:55] @User_9ea2f42c: こんにちは
[3:56] @User_174e5121: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
