# ライブチャット一覧
# 動画: 【AIギャルゲー】今から夜の学校に行きましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=NZqThyMZScI
# 件数: 3577

[-1:39:15] @User_34a668f7: 待機します。
[-1:05:38] @User_47ccb160: 晚上好
[-1:02:24] @User_a2b794ac: たいき
[-1:02:06] @User_7536f8b5: 📡🧠
[-1:01:48] @User_fcb4ddea: 待機－　ホラーじゃないことを祈る…
[-58:41] @User_012e88e1: 待機!
[-52:23] @User_ae2eb658: 待機💧
[-39:14] @User_5a8f2726: 待機！
[-24:57] @User_65723f47: 💧
[-20:59] @User_d760cc52: 待機
[-18:54] @User_9fd4c5ec: たいきー💧
[-9:40] @User_7c724004: 待機💧
[-9:20] @User_46e02420: え！？今夜　もうすぐ
[-9:10] @User_174e5121: 今回は最初から参加できそう
[-9:02] @User_46e02420: 待機 💧
[-8:45] @User_92c2a2e1: 夜の学校で待機💧
[-5:15] @User_439eeb5c: 大樹
[-4:48] @User_439eeb5c: ホラゲー来たか！？！？
[-3:50] @@aki5503: 大樹
[-3:48] @User_92c2a2e1: 今度はドーマンセーマンのタイピング？
[-3:35] @User_dd5f0a17: 夜の学校のナイトプール展開を期待。
[-3:24] @User_68c37264: あんまりリアタイ視聴できない予感…とりあえず音だけでも聴きに来ました
[-2:47] @User_96455de9: 待機
[-2:17] @User_03637d98: ワクワク
[-0:45] @User_92c2a2e1: もしかしてセーラー服Ver.しずく来る？
[-0:07] @User_1267735e: 待機💧
[0:12] @User_46e02420: つまり視聴者は学生という設定か
[0:23] @User_af0e3cda: ワクワク
[0:25] @User_78eb35f9: きちゃ
[0:27] @User_1eca137c: パンパカパンパカポー
[0:28] @User_98815a23: しずくと二人きりで夜の学校あまりにもドキドキ
[0:29] @User_012e88e1: きたー
[0:29] @User_f205e40c: きちゃーぱんぱかぱんぱかぽー
[0:30] @User_6dc97c08: たのしみ
[0:32] @User_9e836a5d: つづきから
[0:32] @User_439eeb5c: 始まった！
[0:33] @User_65723f47: つづきから
[0:42] @User_92c2a2e1: つづきから
[0:44] @User_439eeb5c: パンパカパンパカポーーー
[0:44] @User_98815a23: おもいで
[0:46] @User_4ab21f9e: はじまた！
