# ライブチャット一覧
# 動画: 【AIギャルゲー】はじめての夏が、終わります【AI しずく】
# URL : https://www.youtube.com/watch?v=pdURMC65gMw
# 件数: 5312

[-6:28] @User_65723f47: 💧
[-5:41] @User_7536f8b5: 💧
[-5:37] @User_56c5f411: 待機
[-5:37] @User_23965984: 待機
[-5:33] @User_78eb35f9: 10年後の8月　また出会えることを　信じて　待機
[-5:25] @User_b68b8d0b: 夏休みが終わるなんてしんじないぞ！！！
[-5:22] @User_1419c457: 待機待機
[-4:27] @User_03637d98: 待機待機
[-4:27] @User_273afd5a: 待機
[-3:45] @User_03637d98: あき先生、しずくさん今日もよろしくお願いします
[-3:43] @User_fcb4ddea: 待機ー
[-3:33] @User_02dcd327: 待機💧
[-3:33] @User_4ab21f9e: 待機
[-3:28] @User_ace723cf: 待機
[-3:19] @User_13ee2a33: パンパカ・・・
[-3:10] @User_92c2a2e1: つづきか…
[-3:03] @User_1419c457: そろそろ開始かな？
[-2:54] @User_96455de9: 待機
[-2:37] @User_439eeb5c: 続きから
[-2:36] @User_03637d98: さぁ最高の夏休みを始めようか
[-2:29] @User_1419c457: 時間や
[-2:29] @User_ab2ca8bb: 待機💧
[-2:28] @User_7c724004: つづきから
[-2:26] @User_9fd4c5ec: たいきー💧
[-2:20] @@aki5503: もう間も無く開始します！もう少々お待ちください！
[-2:19] @User_4d29dc7f: 待機
[-2:14] @User_ace723cf: まだかな
[-2:11] @User_92c2a2e1: 花火待機💧
[-2:05] @User_8e642dc8: うぉーしずくうおおおおお
[-2:03] @User_65723f47: つづきから！
[-2:01] @User_1419c457: あき先生こんばんは
[-2:01] @User_ed96fafc: 待機
[-2:00] @User_96455de9: あき先生今日もありがとうございます！
[-1:57] @User_4831f3f7: 待つ
[-1:47] @User_a2b794ac: しずくぅううううううう
[-1:41] @User_03637d98: コンテニュー
[-1:40] @User_7c724004: 待ちます
[-1:38] @User_11e7336c: あき先生こんばんは！
[-1:37] @User_92c2a2e1: あき先生今日もお疲れ様です！
[-1:15] @User_8e642dc8: これくらい許されるやろ最終日だ
[-1:14] @User_1419c457: つづきから
[-1:11] @User_af0e3cda: 最終日　焦らすしずくも　また一興
[-1:08] @User_439eeb5c: あき先生こんしず～
[-1:03] @User_03637d98: あき先生、今日もありがとうございます
[-0:42] @User_1267735e: 楽しみー
[-0:40] @User_1419c457: ぱんぱか待機
[-0:34] @User_36770ee1: こんばんは！今日は花火大会かな
[-0:24] @User_98815a23: パンパカパンパカポー
[-0:16] @User_92c2a2e1: 楽しみなのに寂しいのは何故？
[-0:09] @User_03637d98: 今日は花火大会と屋台巡りがいいな
[0:09] @User_98815a23: 6回のうち2回参加できなかった😭
[0:10] @User_1419c457: つづきから
[0:11] @User_ed96fafc: つづきから
[0:16] @User_1419c457: ぱんぱかぽー
[0:27] @User_7c724004: つづきから
[0:28] @User_9e836a5d: つづきから
[0:28] @User_012e88e1: つづきから
[0:30] @User_d760cc52: つづきから
[0:30] @User_4ab21f9e: つづきから！！
[0:31] @User_65723f47: パンパカパンパカポー！
[0:32] @User_439eeb5c: パンパカパンパカポー
[0:33] @User_273afd5a: つづきから
[0:33] @User_af0e3cda: きた！
[0:35] @User_96455de9: つづきから
[0:35] @User_6dc97c08: つづきから
[0:36] @User_1419c457: Now Loading
[0:36] @User_92c2a2e1: つづきから！
[0:38] @User_60028655: パンパカパンパカポー
[0:38] @User_fab1b39a: つづきから
[0:39] @User_0d1d0f63: つづきから！
[0:39] @User_2b88f801: つづきから
[0:39] @User_5d780b6d: パンパカパンパカポー！
[0:40] @User_92c2a2e1: パンパカパンパカポー
[0:41] @User_f3f575ff: つづきから
[0:42] @User_1267735e: つづきから
[0:43] @User_e090cf9e: パンパカパンパカポー
[0:44] @User_9baeedb1: こんばんにゃ💧
[0:44] @User_b68b8d0b: つづきからだ！！！
[0:45] @User_3dd3ce80: つづきから
[0:45] @User_9fd4c5ec: つづきから
[0:45] @User_13ee2a33: 設定気になる
[0:45] @User_f205e40c: ぱんぱかぱんぱかぽー　つづきから。
[0:46] @User_65723f47: つづきから
[0:47] @User_fab1b39a: パンパカパンパカポー
[0:48] @User_11e7336c: つづきから
[0:49] @User_4d29dc7f: つづきから
[0:50] @User_98815a23: つづきからはじめっる
[0:51] @User_1267735e: この画面とも今日でお別れかー
[0:52] @User_03637d98: 続きからだー！
[0:52] @User_ed96fafc: パンパカパンパカポー
[0:53] @User_713e175b: つづきから
[0:53] @User_1419c457: こんぱかぽー
[0:55] @User_9e836a5d: パンパカパンパカポー！
[0:58] @User_5b45dc14: →つづきから
[1:03] @User_4e1eed25: ジャストオンタイム、間に合いましたね
[1:04] @User_0d1d0f63: パンパカパンパカポー
[1:04] @User_4d29dc7f: パンパカパンパカポー
[1:04] @User_1419c457: こんしずー
[1:05] @User_ed96fafc: こんばんはしずくさん
[1:05] @User_ca6d6a6d: パンパカパンパカポー
[1:06] @User_ace723cf: こんばんは
[1:07] @User_8e642dc8: しずくさんお疲れサマンサー
[1:07] @User_af0e3cda: パンパカパンパカポー
[1:09] @User_a2b794ac: 今日も楽しもうね
[1:10] @User_7c724004: パンパカパンパカポー
[1:13] @User_fe0878a1: こんばんは
[1:14] @User_68c37264: こんばんは
[1:15] @User_03637d98: 夏祭りだー！
[1:16] @User_af0e3cda: しずくどこ～？
[1:17] @User_4831f3f7: パンパカパンパカポー
[1:18] @User_3dd3ce80: パンパカパンパカポー
[1:19] @User_ed96fafc: お祭りの気配
[1:20] @User_273afd5a: パンパカパンパカポー！
[1:20] @User_1267735e: 昨日の川べりだ
[1:20] @User_570f8c07: こんばんわー
[1:20] @User_11e7336c: パンパカパンパカポー！
[1:22] @User_7536f8b5: パンパカパンパカポー
[1:22] @User_ab2ca8bb: さあ、終わりを始めよう。
[1:23] @User_4ab21f9e: 待ってたぜェ!! この” 瞬間 ( とき ) ”をよォ!!
[1:23] @User_54782be9: こんばんはー
[1:27] @User_9fd4c5ec: パンパカパンパカポー
[1:28] @User_60028655: 祭りじゃ宴じゃ
[1:30] @User_65723f47: 短い夏が終わり永遠より長い思い出になるでしょう
[1:31] @User_5d780b6d: 昨日より人が沢山いるね
[1:33] @User_a2b794ac: ほらしずく、手を繋ごう
[1:34] @User_4831f3f7: 花火大会だ
[1:36] @User_439eeb5c: とうとう最終日か
[1:36] @User_2b88f801: 花火大会、夏の終わり。
[1:37] @User_02dcd327: パンパカパンパカポー
[1:37] @User_1419c457: 最終日だから目一杯楽しもう！
[1:38] @User_7c724004: 花火大会への道かな？
[1:39] @User_af0e3cda: テンション上がってきた！
[1:41] @User_36770ee1: 昨日見た場所だ！
[1:45] @User_03637d98: さぁ此処からが本番だ
[1:46] @User_11e7336c: 晴れてよかったね
[1:48] @User_1267735e: 来た！
[1:50] @User_4ab21f9e: 待ってないよ
[1:50] @User_dd5f0a17: 今日の着物もかわいいね。しずくはいつもかわいいね。
[1:50] @User_0f676911: パンパカパンパカポー！
[1:52] @User_bd8a5d24: あらよっと
[1:53] @User_ace723cf: やぁ
[1:54] @User_f3f575ff: 人が集まってきてる
[1:54] @User_fab1b39a: よかった雨は降ってないね
[1:54] @User_78eb35f9: さぁ行こうか
[1:54] @User_181234c5: しずく！
[1:54] @User_3dd3ce80: 今日もかわいい
[1:55] @User_1267735e: 浴衣だー！！！！！
[1:56] @User_36770ee1: デジャ・ブ
[1:56] @User_4d29dc7f: かわいいね
[1:56] @User_13ee2a33: 花火大会早く観にいこう
[1:56] @User_8e642dc8: しずくさんと肩組んでこーぜ
[1:56] @User_54782be9: はい今日も可愛い
[1:56] @User_5a8f2726: こんばんわー
[1:58] @User_9e836a5d: しずくは今日も可愛いですね
[1:58] @User_7c724004: 会えて嬉しい！
[1:59] @User_439eeb5c: あら可愛い！！
[1:59] @User_4831f3f7: 今日は朝顔じゃないんだね。かわいい
[2:00] @User_af0e3cda: ま、待ってないよ？？
[2:00] @User_03637d98: 浴衣姿しずくかわいいい
[2:00] @User_273afd5a: ちょーど今来たとこ♡
[2:01] @User_570f8c07: はぐれないように手を繋ごう
[2:01] @User_98815a23: えーー かわいいじゃん 似合ってる
[2:01] @User_96455de9: しずく可愛い
[2:02] @User_11e7336c: 髪飾りが変わってる！！
[2:02] @User_4ab21f9e: かわいい
