# ライブチャット一覧
# 動画: 【雑談配信】ただいま。夏休みの話をしましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=CflYExDoIHU
# 件数: 2510

[-1:37:50] @User_d760cc52: おかえり待機
[-1:27:31] @User_34a668f7: 待機します。
[-1:15:08] @User_9e836a5d: 待機
[-1:06:38] @User_78eb35f9: 待機
[-26:01] @User_b1d17b4c: 待機
[-22:42] @@aki5503: 待機
[-21:38] @User_439eeb5c: 大樹
[-17:31] @User_a2b794ac: たいき
[-15:39] @User_ace723cf: 待機
[-9:44] @User_11e7336c: 待機💧
[-7:26] @User_e090cf9e: 待機
[-6:23] @User_5d780b6d: 待機
[-5:56] @User_a6103eac: 待機
[-5:52] @User_60028655: 待機💧
[-5:40] @User_0d1d0f63: 💧待機でしゅ
[-4:33] @User_4d29dc7f: 待機💧
[-2:52] @User_13ee2a33: パンパカ・・・パンパカ・・・
[-2:41] @User_99c13731: 待機
[-1:04] @User_012e88e1: 待機!
[-1:04] @User_9fd4c5ec: たいきー💧
[-0:34] @User_174e5121: 待機
[-0:26] @User_ee8ff9ef: 待機
[-0:10] @User_c0787d49: Taiki
[-0:06] @User_92c2a2e1: 待機💧
[0:18] @User_7c724004: 待機💧
[0:24] @User_fcb4ddea: 待機
[0:31] @User_ed96fafc: たいき
[0:34] @User_2b88f801: 待機💧
[0:37] @User_1267735e: 待機💧
[0:38] @User_4ab21f9e: 待機
[0:42] @User_b68b8d0b: 待機
[0:48] @User_5e6c36c3: 待機
[0:52] @User_03637d98: 待機
[0:59] @User_92c2a2e1: 期待
[1:07] @User_273afd5a: 待機
[1:16] @User_ace723cf: こんにちは
[1:19] @User_0f8f478b: たいき💧
[1:22] @User_1267735e: 久しぶりのLoading、安心感ある
[1:36] @User_b68b8d0b: はじまた
[1:36] @User_99c13731: 始まった
[1:39] @User_1267735e: 来た！
[1:44] @User_02dcd327: 久し振りのOP
[1:46] @User_03637d98: キタァ！
[1:51] @User_92c2a2e1: こんにちは
[1:53] @User_7c724004: こんにちは
[1:53] @User_3dd3ce80: こんにちは
[1:53] @User_f3f575ff: パンパカパンパカポー
[1:54] @User_4d29dc7f: パンパカパンパカポー
[1:55] @User_5e6c36c3: パンパカパンパカポー
[1:55] @User_4ab21f9e: こんにちわ
[1:56] @User_174e5121: こんにちは
[1:57] @User_1267735e: こんにちは
[1:57] @User_34a668f7: 来ました。
[1:57] @User_11e7336c: こんにちは
[1:58] @User_6dc97c08: こんにちは
[1:58] @User_fab1b39a: パンパカパンパカポー
[1:59] @User_02dcd327: こんにちは
[1:59] @User_9fd4c5ec: こっちもいいなぁ
[1:59] @User_9e836a5d: パンパカパンパカポー！
[1:59] @User_e090cf9e: こんにちは
[2:01] @User_03637d98: op初めて見た
[2:01] @User_92c2a2e1: パンパカパンパカポー
[2:01] @User_174e5121: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[2:02] @User_e48a91b7: こんにちは
[2:02] @User_78eb35f9: ぱんぱかぱんぱかぽー
[2:02] @User_2b88f801: パンパカパンパカポー
[2:02] @User_af0e3cda: パンパカパンパカポー
[2:03] @User_d760cc52: パンポーー！！
[2:03] @User_ed96fafc: こんにちは
[2:04] @User_ace723cf: パンパカポー
[2:05] @User_7c724004: パンパカパンポー
