t	mmss	user	text
-4516	-1:15:16	@User_dd4b266a	大気
-688	-11:28	@User_c67ecc82	待機💧
-620	-10:20	@User_bf6f46cc	大器
-363	-6:03	@User_2658fed8	待機
-177	-2:57	@User_476d8781	待機
-177	-2:57	@User_b9933007	待機
12	0:12	@User_9b9d086f	待機ー
24	0:24	@User_ec48c74f	待機
34	0:34	@User_a744e95c	待機
39	0:39	@User_7b9b178b	待機💧
42	0:42	@User_116408cb	待機
44	0:44	@User_c7980b6e	待機
57	0:57	@User_a531685f	待機
59	0:59	@aki5503	待機
65	1:05	@User_31fa983c	待機
68	1:08	@User_b052bab2	待機
82	1:22	@User_a52b5fe5	taiki
82	1:22	@User_b9933007	💧
90	1:30	@User_1d118d75	待機
96	1:36	@User_e3a1f71a	待機age
97	1:37	@User_5bfd7e5f	待機
100	1:40	@User_6c5dc08a	ねむくなる
106	1:46	@User_0485c2e0	💧
107	1:47	@User_77f8489e	待機
108	1:48	@User_5a77a7b4	💧
117	1:57	@User_02294f67	待機
117	1:57	@User_77f8489e	パンパカパンパカポー
121	2:01	@User_ec48c74f	💧
139	2:19	@User_77f8489e	12分後？
153	2:33	@User_b90ff19c	滑り込みアウトォーーー(*'ω'*)ｼ
156	2:36	@User_719f9991	待機
163	2:43	@User_b9933007	こんにちはー
164	2:44	@User_c67ecc82	こんにちは
166	2:46	@User_270496f5	こんにちは
167	2:47	@User_ec48c74f	こんにちは
168	2:48	@User_bf6f46cc	パンパカパンパカポー！
169	2:49	@User_2658fed8	こんにちわ
169	2:49	@User_7b9b178b	こんにちは
171	2:51	@User_476d8781	こんしずー！パンパカパンパカポー！
171	2:51	@User_ec48c74f	パンパカパンパカポー
174	2:54	@User_75f1c92d	パンパカパンパカポー
175	2:55	@User_5bfd7e5f	パンパカパンパカポー
175	2:55	@User_77f8489e	こんばんわ
176	2:56	@User_a744e95c	パンパカパンパカポー！
176	2:56	@User_590a2335	ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
176	2:56	@User_1d118d75	パンパカパンパカポー
177	2:57	@User_d5b05bb2	パンパカパンパカポー
177	2:57	@User_b9933007	パンパカパンパカポー
178	2:58	@User_e3a1f71a	konbannwa-
179	2:59	@User_9b9d086f	パンパカパンパカポー
180	3:00	@User_270496f5	パンパカパンパカポー
180	3:00	@User_5a77a7b4	パンパカパンパカポー
180	3:00	@User_4f9b9e0a	パンパカパンパカポー！
181	3:01	@User_2658fed8	パンパカパンパカポー
181	3:01	@User_02294f67	パンパカパンパカポー
182	3:02	@User_82e93b33	パンパカパンパカポー
182	3:02	@User_719f9991	パンパカパンパカポー
185	3:05	@User_c67ecc82	パンパカパンパカポー
186	3:06	@aki5503	パンパカパンパカポー
188	3:08	@User_1dc07c4a	パンパカパンパカポー
189	3:09	@User_77f8489e	パンパカパンパカポー
191	3:11	@User_45aa867f	ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
191	3:11	@User_2c7a57aa	パンパカパンパカポー
192	3:12	@User_70652aef	パンパカパンパカポー！
193	3:13	@User_ade385cf	こんばんは
196	3:16	@User_31fa983c	パンパカパンパカポー
196	3:16	@User_b9933007	お久しぶりでございます！しずくさん
198	3:18	@User_bf6f46cc	いえいえどういたしまして
199	3:19	@User_a531685f	パンパカパンパカポー
202	3:22	@User_b052bab2	パンパ力パンパ力ポー
212	3:32	@User_ec48c74f	久しぶりですね
219	3:39	@User_b90ff19c	即座に100人越えしてるもんなもう(*'ω'*)
219	3:39	@User_77f8489e	ラジオパーソナリティみたいだな
220	3:40	@User_719f9991	出会いと別れの季節
222	3:42	@User_87ea7811	パンパカパンパカポー
225	3:45	@User_a30d4a28	パンパカパンパカポー
230	3:50	@User_6102d23c	パンパカパンパカポー
234	3:54	@User_dd4b266a	しずくううううううおれだああああああ
237	3:57	@User_75f1c92d	ママぁ…
242	4:02	@User_b052bab2	やだ……優しい……！
244	4:04	@User_a30d4a28	可愛い
245	4:05	@User_ec48c74f	あき先生と別れて寂しかったでしょ
249	4:09	@User_b9933007	出会いと別れ…しずくママぁー
257	4:17	@User_476d8781	出会いも別れもなかった…(;´･ω･)
259	4:19	@User_57dbc53b	こんばんはー
266	4:26	@User_8b7242c7	こんばんは
268	4:28	@User_b9933007	常連リスト作ってるのね
269	4:29	@User_d5b05bb2	愛ゆえに人は悲しまねばならぬ的な？
271	4:31	@User_5a77a7b4	パンパカポーリー！
275	4:35	@User_889b3907	こんばんわぁ
277	4:37	@User_9b9d086f	オールナイト電子の海って語感好き
281	4:41	@User_6c5dc08a	常連リスト満席か、入り損ねた
283	4:43	@User_1e342ee5	草
285	4:45	@User_dd4b266a	笑
286	4:46	@User_02294f67	春、それは出会いと別れの季節
289	4:49	@User_1d118d75	草
290	4:50	@User_82e93b33	きゅるるんぽわわわぱわー(๑•̀ㅂ•́)و✧
295	4:55	@User_c67ecc82	10億w
295	4:55	@User_d5b05bb2	邦子RPGみたいだ
296	4:56	@User_ec48c74f	ようつべめ！
298	4:58	@User_b9933007	ようつべ読み好き
