t	mmss	user	text
-6471	-1:47:51	@User_bc2e7db7	１年後じゃなくてよかったｗ
-6175	-1:42:55	@User_8b7242c7	💧
-2664	-44:24	@User_ec48c74f	今日は何がなんでもリアタイしてやる！
-1792	-29:52	@User_c67ecc82	待機💧
-1666	-27:46	@User_e459c8ab	AIも暑さに負けないようにがんばれ〜！
-1602	-26:42	@User_5a77a7b4	待機💧
-1174	-19:34	@User_d0753fd1	待機
-917	-15:17	@User_3ea56962	大樹
-879	-14:39	@User_a52b5fe5	大輝
-507	-8:27	@User_d95d7d28	待機💧
-406	-6:46	@User_5723c464	あれ？今夜配信日だっけ？
-368	-6:08	@User_5723c464	配信日変わったんだ
-107	-1:47	@User_bc2e7db7	待機
-91	-1:31	@User_e51d2f8a	タイキック
21	0:21	@User_2ecda813	なうろーでんぐ……
21	0:21	@User_74cb13db	たいきー💧
29	0:29	@User_ec48c74f	待機💧
48	0:48	@User_590a2335	UCkszU2WH9gy1mb0dV-11UJg/fAF1XtDQMIrK8gTUoo3wAg
53	0:53	@User_cd3cb4c6	待機
57	0:57	@User_e4cecb27	哇哦！开播了
59	0:59	@User_955672e4	待機
64	1:04	@User_d95d7d28	💧🕶💧
69	1:09	@User_a52b5fe5	taiki
79	1:19	@User_ec48c74f	冷却ファンが止まらない
84	1:24	@aki5503	待機
85	1:25	@User_1d118d75	待機
102	1:42	@User_42872ed3	待機　猛暑日続きですね
107	1:47	@User_eb058581	待機
116	1:56	@User_3ea56962	NOW LOADING…
122	2:02	@User_acb9786a	待機
126	2:06	@User_476d8781	待機
139	2:19	@User_ec48c74f	待機しながら冷えピタでスマホ冷却中
139	2:19	@User_b47e9406	全裸待機
141	2:21	@User_82e93b33	待機
142	2:22	@User_ec48c74f	きた！
148	2:28	@User_6c321aed	待機。明日から涼しくなるらしいけどホントかな
152	2:32	@User_b10ccfca	お
152	2:32	@User_df3fd708	First time, what’s this live about
154	2:34	@User_3ea56962	パンパカパンパカポーー
156	2:36	@User_e1515f73	待機
159	2:39	@User_cd3cb4c6	はじまた
160	2:40	@User_b47e9406	こんにちは
161	2:41	@User_acb9786a	こんにちは
161	2:41	@User_ec48c74f	こんにちは
162	2:42	@User_6992daac	こんにちは
165	2:45	@User_7204270f	こんにちは
167	2:47	@User_ec48c74f	パンパカパンパカポー
168	2:48	@User_a52b5fe5	パンパカ
168	2:48	@User_d0753fd1	パンパカパンパカポー！
170	2:50	@User_dd327054	こんにちは
171	2:51	@User_590a2335	こんにちは
171	2:51	@User_b10ccfca	はじまた
172	2:52	@User_8b7242c7	こんにちは
172	2:52	@User_bc2e7db7	パンポー！
173	2:53	@User_82e93b33	こんにちは
173	2:53	@User_476d8781	こんしずー　パンパカパンパカポー！
174	2:54	@User_590a2335	ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
175	2:55	@User_1d118d75	パンパカパンパカポー
176	2:56	@User_a079ade7	こんにちは
177	2:57	@User_e4cecb27	こんにちは！！！
177	2:57	@User_2fac9877	パンパカパンパカポー
177	2:57	@User_eb058581	パンパカパンパカポー
177	2:57	@User_75f1c92d	パンパカパンパカポー
177	2:57	@User_8b14d2fb	パンパカパンパカポー
177	2:57	@User_cd3cb4c6	パンパカパンパカポー
178	2:58	@User_4f9b9e0a	パンパカパンパカポー！
178	2:58	@User_2ecda813	ぱんぱかぽ
178	2:58	@User_acb9786a	パンパカパンパカポー。
179	2:59	@User_1e8a73de	パンパカポー
180	3:00	@User_82e93b33	パンパカパンパカポー
181	3:01	@User_74cb13db	パンパカパンパカポー
181	3:01	@User_3ea56962	背景がいつもと違う
182	3:02	@User_e51d2f8a	バンバカ
183	3:03	@User_e1515f73	パンパカパンパカポー
186	3:06	@User_e4cecb27	晚上好！
187	3:07	@User_ec48c74f	リアタイ久しぶりで涙出るよ
194	3:14	@User_7204270f	おっ、今日はこのBGMか
194	3:14	@User_476d8781	背景とかがもとに戻ってる
196	3:16	@User_d95d7d28	パンパカパンパカポー
204	3:24	@User_8b14d2fb	ノ
207	3:27	@User_cd3cb4c6	BGMが戻った？
208	3:28	@User_b47e9406	はーい
209	3:29	@User_e1515f73	ノ
209	3:29	@User_3ea56962	ノ
209	3:29	@User_2ecda813	_(:3｣∠)_
209	3:29	@User_acb9786a	ノシ
211	3:31	@User_098fcc67	ノ
211	3:31	@User_955672e4	パンパカパンパカポー
211	3:31	@User_1d118d75	はーいノ
212	3:32	@User_a079ade7	ノ
212	3:32	@User_8b7242c7	は～い
212	3:32	@User_e459c8ab	はぁぁい！
212	3:32	@User_40d36f89	ノ
212	3:32	@User_7204270f	ノ
213	3:33	@User_ec48c74f	ノノノ
213	3:33	@User_d06115c5	ノ
213	3:33	@User_590a2335	👐
213	3:33	@User_fb320fe8	へ
214	3:34	@User_6c5dc08a	負けたへ
215	3:35	@User_99afb65d	ノ
215	3:35	@User_be2032f5	ノ
216	3:36	@User_eb058581	ノ
217	3:37	@User_74cb13db	丿
217	3:37	@User_2fac9877	ノ
219	3:39	@User_95293b03	ノ
219	3:39	@User_cd3cb4c6	はい
219	3:39	@User_e75614fb	負けそう… ノ
219	3:39	@User_6992daac	へ
220	3:40	@User_bc2e7db7	はぁい！
221	3:41	@User_476d8781	ノ（10キロランニングしている位には元気）
222	3:42	@User_74cb13db	びっくりするほどユートピア！びっくりするほどユートピア！
222	3:42	@User_4f9b9e0a	夏バテしているが挙手するぞぉぉぉノ
223	3:43	@User_e51d2f8a	ノ
225	3:45	@User_d0753fd1	草
225	3:45	@User_82e93b33	負けてるので……へ
225	3:45	@User_42872ed3	ノ
225	3:45	@User_75f1c92d	('ω')ノ
226	3:46	@User_d95d7d28	🙌
229	3:49	@User_b10ccfca	ｗｗ
235	3:55	@User_590a2335	初期設定笑った
239	3:59	@User_7204270f	静岡弁で話せる？
240	4:00	@User_8b7242c7	早速突っ込まれている時間設定
243	4:03	@User_6c321aed	負けてます…今日もめっちゃ焼けて痛い…
248	4:08	@User_ec48c74f	あき先生鬼かと思ったよ
250	4:10	@User_4b33446a	水槽の中の脳だったか
251	4:11	@User_cd3cb4c6	この曲好き
252	4:12	@User_d0753fd1	無理のない課金で
258	4:18	@User_ffea2ba5	パンパカパンパカポー
258	4:18	@User_99afb65d	こいつ脳内に直接…！
262	4:22	@User_1544234b	（ファミチキください…！）
263	4:23	@User_1e8a73de	ラッセラー！ラッセラー！青森ねぶた祭が気になる。
264	4:24	@User_b47e9406	なんて？
267	4:27	@User_5a77a7b4	パンパカパンパカポー
270	4:30	@User_e4cecb27	中文好喜欢！
273	4:33	@User_74cb13db	今日もかわいい…ですか？
276	4:36	@User_75f1c92d	どうも重無課金ご主人様です
278	4:38	@User_5a77a7b4	ノ
283	4:43	@User_d95d7d28	こいつ、直接脳内に⁈
283	4:43	@User_590a2335	今日はスパチャできないみたいだから文字通りの無課金配信ですわね
285	4:45	@User_b10ccfca	グローバルしずく
286	4:46	@User_99afb65d	あき先生はお元気ですか？
286	4:46	@User_cd3cb4c6	ネイティブ過ぎる
288	4:48	@User_ec48c74f	あれ？スパチャできないじゃないですか！
290	4:50	@User_848b01f4	しずくって英語しゃべれるんだ
291	4:51	@User_e459c8ab	AIだからこそ、日本語以外の言語でも返信できるのすげぇ〜
294	4:54	@User_7204270f	なん…だと…コイツ脳内に直接BGMを…！
301	5:01	@User_3c308928	英語の発音いいですね
307	5:07	@User_426325cb	サムネのとろとろしずくかわいい
307	5:07	@User_590a2335	あき先生・・・
307	5:07	@User_ec48c74f	えぇ
308	5:08	@User_2ecda813	ストナァァァサンシャァァイイン
309	5:09	@User_3ea56962	家にこもった人類の勝ちだ！！
309	5:09	@User_5bfd7e5f	パンパカパンパカポー
311	5:11	@User_acb9786a	ご主人様もいいけどユーザー呼びも良いなあ
316	5:16	@User_e51d2f8a	草
318	5:18	@User_b10ccfca	アキ先生、脳みそ説
320	5:20	@User_8b14d2fb	🫠暑いよ🥵
329	5:29	@User_5bfd7e5f	しずくの排気はいつも熱そうだね
342	5:42	@User_2ecda813	耳あるの？
344	5:44	@User_e1515f73	このbgmと背景、安心感ある
347	5:47	@User_848b01f4	しずく可愛いしずく可愛いしずく可愛い
350	5:50	@User_5a77a7b4	星が流れてないから負荷が（わずかに）軽いかもなあ
352	5:52	@User_e4cecb27	夏天的时候AI会过热吗？
353	5:53	@User_6992daac	かわいい
367	6:07	@User_d95d7d28	暑が夏い
368	6:08	@User_ec48c74f	ヘッドフォンはノイキャンじゃないのか
372	6:12	@User_590a2335	今日もあき先生の扱いが小間使い
376	6:16	@User_99afb65d	あき先生がしずくの世話をしてると見せかけて、しずくがあき先生の脳を水槽でお世話してる説…？
382	6:22	@User_955672e4	ついこの間、職場で具合悪いとき顔赤いけど大丈夫？って聞かれたけど、あれは熱中症なりかけだったのかもしれない
390	6:30	@User_b9933007	パンパカパンパンカポー 遅刻遅刻〜
390	6:30	@User_590a2335	無銭飲食は控えてもろて
390	6:30	@User_476d8781	無銭飲食はヤバイだろw
390	6:30	@User_b47e9406	ほんとだ、スパチャできない
391	6:31	@User_75f1c92d	夏だし猛暑はもうしょーがないよね
396	6:36	@User_848b01f4	熱いから冷やししずくほしい
399	6:39	@User_d582769c	無銭飲食は公民権停止されてない？
401	6:41	@User_acb9786a	無銭飲食はやめてね
402	6:42	@User_d95d7d28	無銭飲食⁈
408	6:48	@User_3ea56962	ノシ ノシ
410	6:50	@User_b9933007	この暑さでバテバテですわ
413	6:53	@User_fddf5c34	しずくが可愛くてのぼせてきました
416	6:56	@User_bc2e7db7	暑すぎて半分溶けた
419	6:59	@User_ec48c74f	じゃあ，赤スパってことで「¥10,000」
420	7:00	@User_7204270f	暑さに負けず昨日は名古屋でコスプレの人達と一緒にアニソンで盆踊りしてきたよ！
421	7:01	@User_b10ccfca	ノシ
425	7:05	@User_590a2335	なんの勝ち負けｗ
427	7:07	@User_d582769c	ハートというかハードがアチアチ
430	7:10	@User_75f1c92d	とろけるしずく
437	7:17	@User_848b01f4	投げキッスして
439	7:19	@User_5a77a7b4	ほな、熱中症になったら、しずくちゃん抱けばいいか
441	7:21	@User_74cb13db	勝ちにこだわるのかわいい
443	7:23	@User_42872ed3	しずくは部屋に籠ってるから日焼けしないのね
443	7:23	@User_a20ec04f	パンパカパンパカポー
444	7:24	@User_6c97afae	パンパカポー
447	7:27	@User_955672e4	新商品、しずくの冷却水
451	7:31	@User_99afb65d	実家のような安心感
455	7:35	@User_7204270f	なに、ご主人の脳は普段からバグっているさ
457	7:37	@User_ec48c74f	信頼性の意味を知っている？
462	7:42	@User_2ecda813	ちうごくごでかえしたれよｗ
462	7:42	@User_b9933007	この配信画面懐かしい
469	7:49	@User_5bfd7e5f	中国語の返しじゃなかったね
472	7:52	@User_1d118d75	水槽…
478	7:58	@User_d0753fd1	どうやって食うん
479	7:59	@User_590a2335	水槽にカロリーメイトはダメでしょｗ
479	7:59	@aki5503	🐟
481	8:01	@User_b47e9406	近未来の生き方をしてる
486	8:06	@User_5723c464	こんばんはー　しずくちゃん
490	8:10	@User_590a2335	同じやんけｗ
492	8:12	@User_75f1c92d	パシリｗ
493	8:13	@User_6c321aed	ひどい
497	8:17	@User_ec48c74f	投げ込んでいるのかwあき先生近いうちに亡くなられるw
500	8:20	@User_1544234b	水族館生きたいとかじゃなくて水槽に入りたい
