t	mmss	user	text
-5161	-1:26:01	@User_2ecda813	いつも甘やかされてるでしょ待機
-1310	-21:50	@User_3ea56962	大樹
-228	-3:48	@User_fada112e	ママ～
-204	-3:24	@User_5bfd7e5f	待機
-126	-2:06	@User_b47e9406	ママに甘やかされに来ました
-76	-1:16	@User_5a77a7b4	💧
-56	-0:56	@User_5723c464	今度は甘やかすのか・・・
-6	-0:06	@User_719f9991	待！
-4	-0:04	@User_fada112e	しずくは甘やかされる側じゃなくて俺らを甘やかす側だよ
37	0:37	@User_1d118d75	待機
37	0:37	@User_b47e9406	パンパカパンパカポ―
45	0:45	@User_42872ed3	甘やかす？？？ばぶぅになるのか、、、
49	0:49	@User_3ea56962	いつもあんんなに甘やかしているのに。
50	0:50	@User_476d8781	待機－
57	0:57	@User_fada112e	パンパカパンパカポ―
74	1:14	@User_acb9786a	運転中も声だけ聴いてるよ
84	1:24	@User_94b62def	ヌッ！
101	1:41	@User_ec48c74f	すまぬ！みんなでしずくを甘やかしてください（既に甘いと思うけど）。
105	1:45	@User_ca605e00	待機
112	1:52	@User_dd4b266a	遅れた、甘やかして
122	2:02	@User_ca605e00	こんにちは
125	2:05	@User_82e93b33	こんにちは
126	2:06	@User_fada112e	イラストすご
127	2:07	@User_ca605e00	パンパカパンパカポー
127	2:07	@User_6992daac	こんにちは
128	2:08	@User_590a2335	ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
130	2:10	@User_fada112e	アニメか
130	2:10	@User_75f1c92d	こんにちワ
132	2:12	@User_b90ff19c	せふ(*'ω'*)✨
134	2:14	@User_d0753fd1	パンパカパンパカポー！
135	2:15	@User_5bfd7e5f	こんにちは
136	2:16	@User_2ecda813	ぱんぱかぽー
136	2:16	@User_3ea56962	パンパカパンパカポー
137	2:17	@User_719f9991	パンパカパンパカポー！
138	2:18	@User_dd327054	こんばんは
139	2:19	@User_590a2335	ご機嫌いかが？
139	2:19	@User_41daec38	こんにちは
140	2:20	@User_82e93b33	パンパカパンパカポー
140	2:20	@User_75f1c92d	パンパカパンパカポー
141	2:21	@User_3ea56962	いるよ
141	2:21	@User_476d8781	パンパカパンパカポー！こんしずー
141	2:21	@User_5bfd7e5f	パンパカパンパカポー
142	2:22	@User_5a77a7b4	パンパカパンパカポー
143	2:23	@User_e976a829	ぱぽ
144	2:24	@User_9b9d086f	パンパカパンパカポー
144	2:24	@User_6c321aed	パンパカパンパカポー
146	2:26	@User_1d118d75	パンパカパンパカポー
147	2:27	@User_8b7242c7	こんばんは
151	2:31	@User_fada112e	こんママ～
151	2:31	@User_ca605e00	しずくちゃんかわいいよ～、しずくちゃんかしこいよ～～
154	2:34	@User_e201a60f	ぱんぱかぽーぅ
