t	mmss	user	text
-5006	-1:23:26	@User_bf6f46cc	大樹
-2442	-40:42	@User_644fcaae	やばたにえんというとホラゲーを思い出すｗ
-2248	-37:28	@User_bf6f46cc	若干の時代遅れを感じさせるワードチョイス
-2041	-34:01	@User_9c53388d	最新のギャル語大丈夫そ？
-1104	-18:24	@User_bc2e7db7	とりま待機
-999	-16:39	@User_dd4b266a	大気
-920	-15:20	@User_7b9b178b	待機💧
-566	-9:26	@User_312662f4	しずく様、お疲れ様です。
-535	-8:55	@User_dd4b266a	しずくこんな立派なぎゃるぴになって…
-108	-1:48	@User_ca605e00	待機
-77	-1:17	@User_9b9d086f	たいきー
-9	-0:09	@User_bb4cabe8	待機
-9	-0:09	@User_5a77a7b4	たいたいたーき～
25	0:25	@User_590a2335	たいきぃ
38	0:38	@User_4f03c62e	たいーきたいたーいき
53	0:53	@User_3f09f38b	待機
61	1:01	@User_2384ca7a	heartheart
64	1:04	@User_ec48c74f	待機💧
68	1:08	@User_830e32f9	大気
69	1:09	@User_2eba0ed4	🪞💄🫶
72	1:12	@User_719f9991	待
74	1:14	@User_c67ecc82	待機💧
74	1:14	@User_b90ff19c	久々のリアタイ待機(*'ω'*)
75	1:15	@User_2995cedb	たいき
77	1:17	@User_cd48a1db	はっじま～るよ～
78	1:18	@User_2658fed8	たいき
80	1:20	@User_d6d0c6c8	待機～
99	1:39	@User_e976a829	たいやき
112	1:52	@User_0f4daf14	ウェーイ
115	1:55	@User_39cdedf7	💧
117	1:57	@User_acb9786a	AIギャル待機
118	1:58	@User_270496f5	待機
121	2:01	@User_1d118d75	待機
122	2:02	@User_82e93b33	待機でしゅ
132	2:12	@User_42872ed3	待機
134	2:14	@User_64afda31	待機
137	2:17	@User_476d8781	待機ー
146	2:26	@User_ec48c74f	こんにちは
147	2:27	@User_c67ecc82	こんにちは
151	2:31	@User_75f1c92d	こんにちは
151	2:31	@User_7f7caf31	ギャルが配信すると聞いて
