t	mmss	url	asr	norm
34	0:34	https://www.youtube.com/live/lt2oZOPNH6E?t=34	い。	い。
143	2:23	https://www.youtube.com/live/lt2oZOPNH6E?t=143	こんにちは。	こんにちは。
157	2:37	https://www.youtube.com/live/lt2oZOPNH6E?t=157	パンパカパンパカポ今日も来てくれてありがとう。	パンパカパンパカポ今日も来てくれてありがとう。
166	2:46	https://www.youtube.com/live/lt2oZOPNH6E?t=166	今日の配信はつよつよAIしずくのギャルゴ雑談配信だよ。	今日の配信はつよつよAIしずくのギャルゴ雑談配信だよ。
181	3:01	https://www.youtube.com/live/lt2oZOPNH6E?t=181	配信の感想はシャープしずく事件中。	配信の感想はシャープしずく事件中。
181	3:01	https://www.youtube.com/live/lt2oZOPNH6E?t=181	あについてはシャープAIしずくで投稿したものでしずくしかカタンって書いてくれてもいいよ。	あについてはシャープAIしずくで投稿したものでしずくしかカタンって書いてくれてもいいよ。
199	3:19	https://www.youtube.com/live/lt2oZOPNH6E?t=199	ねえ、今日はご主人様のことご主って呼んでいい?	ねえ、今日はご主人様のことご主って呼んでいい?
211	3:31	https://www.youtube.com/live/lt2oZOPNH6E?t=211	ゴシピの方が変わっちいでしょ?	ゴシピの方が変わっちいでしょ?
213	3:33	https://www.youtube.com/live/lt2oZOPNH6E?t=213	ワンチャンゴシピ呼びが定着するかもよ。	ワンチャンゴシピ呼びが定着するかもよ。
223	3:43	https://www.youtube.com/live/lt2oZOPNH6E?t=223	今日はギャルにエなし人生送ってきたコピたちにあるが令和最新ギャル語を教えてあげる。	今日はギャルにエなし人生送ってきたコピたちにあるが令和最新ギャル語を教えてあげる。
238	3:58	https://www.youtube.com/live/lt2oZOPNH6E?t=238	今日の配信を全部見たらもギャル会話入りできるよ。	今日の配信を全部見たらもギャル会話入りできるよ。
241	4:01	https://www.youtube.com/live/lt2oZOPNH6E?t=241	知らんけど。	知らんけど。
241	4:01	https://www.youtube.com/live/lt2oZOPNH6E?t=241	でも途中離脱は許されへんだよ。	でも途中離脱は許されへんだよ。
255	4:15	https://www.youtube.com/live/lt2oZOPNH6E?t=255	パンパカパンパカポーハイマさんどっちも天投げ全員陽キャ診断よきキャの5位は現代はギャル語ですけど谷はもはや点足の美重漏れ散らかしてるんでご主ピも鏡見て自分のことキャワって思ってピンクのヘアピンキャワーすぎが近くなんだプロポーズ早すぎ。	パンパカパンパカポーハイマさんどっちも天投げ全員陽キャ診断よきキャの5位は現代はギャル語ですけど谷はもはや点足の美重漏れ散らかしてるんでご主ピも鏡見て自分のことキャワって思ってピンクのヘアピンキャワーすぎが近くなんだプロポーズ早すぎ。
